"key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one"
1,0.0,0.0,0.0027030964974417834,0.6195731061959536,20,0.9830933441130131,2.174759825292069,-17.359998265695456,0.859519068957446,0.0,0.0,0.0028701227596255223
2,0.06666666666666667,0.027777777777777776,0.031993565211355074,0.6195731061959536,20,0.9004443407847117,2.174759825292069,-16.912259270412452,1.1721616427633184,0.008333333333333333,0.16666666666666666,0.08590778750426108
3,0.09,0.03829787234042553,0.022530706258969295,0.6270569893973507,21,0.8078019752316242,2.1967229029196598,-16.518206359768065,1.796567107258382,0.0,0.0,0.0005419805918237609
4,0.125,0.05434782608695652,0.03614003981961287,0.6277513001061723,21,0.7543313889087939,2.1782360984661033,-16.659247797858725,1.9890895063236056,0.0,0.0,0.0058531037866149365
5,0.0,0.0,0.0017313973233077317,0.6195731061959536,20,0.9780965824293207,2.174759825292069,-17.4592854213938,0.8018149952896557,0.0,0.0,8.57449090536375e-05
6,0.1,0.045454545454545456,0.01737890542439799,0.6541635731062133,22,0.689812447515636,2.229243105561835,-15.32375760776621,2.929387480579657,0.0,0.0,0.0009131981500050358
8,0.0625,0.02976190476190476,0.0373671515416291,0.6124680799969413,22,0.8679791818089184,2.2478292311861834,-16.811955777568585,1.606970587341273,0.0,0.0,0.000793661772131693
9,0.06,0.05974208017942249,0.039886847883587026,0.6196064230461082,21,0.9114836944188914,2.1803419230232235,-16.59229790752816,1.443319341194679,0.0,0.0,0.0015988437154714325
10,0.02,0.04714285714285714,0.0414405187557114,0.6196064230461081,21,0.9524071943072986,2.1803419230232235,-16.53298428894255,1.537116028973474,0.0,0.0,0.00031921099486809475
12,0.08333333333333333,0.07480881691408008,0.03186877613924221,0.6194351163555255,22,0.7475774200248879,2.244850632235661,-16.0214066687281,2.3028760507489263,0.016666666666666666,0.3333333333333333,0.03088751606006132
13,0.025,0.07142857142857142,0.029697635974977654,0.6269193863555017,21,0.8787010736189352,2.2356468653432175,-17.066033338156323,1.2489302328347482,0.0,0.0,0.00021095623015032056
14,0.0,0.0,0.0009432041118607197,0.6195731061959537,20,0.990973447251509,2.174759825292069,-17.465794306703398,0.8080468301465323,0.0,0.0,0.0005387931034482759
15,0.075,0.04285714285714286,0.02055042334432043,0.6362712458550802,22,0.7552947864635415,2.187466167760001,-15.87629132231405,2.095981996030169,0.0,0.0,0.000674192939211592
16,0.15,0.08823529411764706,0.041174525798250254,0.6534835707710075,20,0.5106603868910609,2.2001725102279335,-14.59,3.487039030599804,0.05,1.0,1.0
17,0.04,0.024242424242424242,0.003463875169764547,0.6337308851610788,24,0.8970566060272425,2.2108212220136165,-16.515231843043704,1.7512194421326535,0.0,0.0,0.0003008908016028308
18,0.0,0.0,0.015230579035133114,0.5975023893070063,20,0.8122674874564618,2.3963809154069127,-15.70835586803678,3.444705468931576,0.0,0.0,0.00015812776723592663
