key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity
1,0.04595189012636539,0.03928173612007288,0.014234094604090856,0.7421012470111403,41.25,0.8459761820253299,7.536291853514623,-5.417771111581044,8.230187096494841
2,0.050435606060606056,0.03619877058740726,0.016300016048449578,0.7254588398797178,46.5,0.8288025831966519,7.637088402497438,-5.661422591125521,7.923418581683455
3,0.05361057486057486,0.03582253892598272,0.0155280651763154,0.7179909305844955,48.25,0.8144849007948635,7.711901517369837,-6.027561415401989,7.37034225593213
4,0.059764928698752225,0.04186512940133935,0.01777567651097014,0.7061250001037453,49.5,0.8056672865031758,7.798742849983993,-5.988507873714205,7.349931205057431
5,0.056231060606060604,0.04087511303579203,0.01688913283041656,0.6966094230370892,49.0,0.8057356626164445,7.845333553734619,-6.078451903097282,7.070883053120969
6,0.055000526094276095,0.039723499343363486,0.015027210835172788,0.691750648160124,48.0,0.8075472884655683,7.8697407258606615,-6.0466435523325615,6.965612083136949
7,0.05344555083199533,0.03639596209287918,0.015018187914858337,0.6869678441534819,51.25,0.8020501524641169,7.894267478595467,-6.061601060437281,6.856027630315076
8,0.05150577166350411,0.036215873687949054,0.013890993918911675,0.6855824466199569,51.5,0.8034336956185353,7.937363554697795,-6.047017116235595,6.7724294302589945
9,0.05343360071301248,0.03975916866397734,0.01531738698616005,0.68586004964387,50.5,0.796799527152611,7.933080975974986,-6.183595004568469,6.650337736513761
10,0.054729166666666676,0.04452532193432929,0.017393572376773015,0.6841423095286185,50.0,0.7951199150660853,7.898277914666284,-6.295518957848802,6.710281836006334
11,0.05450892857142857,0.050075511461952896,0.018847210704672736,0.6824904089730819,51.25,0.7902110936242946,7.935258333481494,-6.289747845663537,6.719474018956941
12,0.05162037037037037,0.04009546991947045,0.016968490216321862,0.679362319508908,51.0,0.794117860022546,7.957915289242031,-6.3078057296166,6.707919252680596
13,0.05268382913806255,0.044021959873218455,0.019495052711595073,0.6867528834907617,51.25,0.7914359011279686,7.984908487182823,-6.320601641413047,6.692986887245577
14,0.050543478260869565,0.05156703014969606,0.01777595267520266,0.6863079516095211,51.5,0.7944844055775262,7.986489315058741,-6.319738671221181,6.561909091671667
15,0.04762626262626263,0.040041486291486295,0.014285858231685416,0.6882080282510326,51.25,0.7927688249003891,7.978911027817614,-6.392426920608947,6.590157054736234
16,0.04630952380952381,0.045118782361429424,0.016185323570996012,0.6856683760459646,53.0,0.7922425455840384,7.985578052983085,-6.37737146233434,6.665207545670229
17,0.045606303418803416,0.03556774545904981,0.014508593829285684,0.6840096881727893,50.75,0.7939034527662528,7.993197207977577,-6.4987589524069955,6.56634967577543
18,0.04553685897435897,0.038774615141802644,0.018081257211018803,0.6761501467888708,49.75,0.7946705583816558,7.986367076025223,-6.577704525007307,6.490826242208032
19,0.04697012546277253,0.04919311100822012,0.025285808445354593,0.6704437283353087,49.5,0.793420022460602,7.988553652854009,-6.652600747200026,6.36506339532569
20,0.043437354698964606,0.03578327417336705,0.013421271849316237,0.6741112768779693,48.25,0.8008892429259007,7.9694771009742515,-6.726083493561392,6.331949484979302
