key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity
34,0.02367749183006536,0.029596864787581702,0.011535555029599633,0.6759756732600017,54.25,0.7967324473308858,8.009983134321075,-6.256321888881607,6.910304284030887
35,0.025124007936507937,0.03349867724867724,0.012342188262141948,0.6755570621638978,53.75,0.7994588816503253,8.000194483484671,-6.521533214655587,6.882578644955734
36,0.023609775641025642,0.03372825091575091,0.012837243745751901,0.6670025012962947,53.0,0.7959032041221852,8.002606646088463,-6.492830622438856,6.8646251725605625
37,0.02138755341880342,0.03290392833662065,0.010581581161487916,0.6736002130738528,52.75,0.7968733604635172,8.034007032594113,-6.506687910781645,6.8345265304794784
38,0.01969932844932845,0.03283221408221408,0.011248353751160269,0.6733628038659288,52.5,0.8034176611284786,8.025008141973046,-6.544800806626633,6.5787367005554405
39,0.017973137973137977,0.03267843267843268,0.011783351704725154,0.6671266930367338,53.75,0.804385755232909,8.052985055225836,-6.450168767560586,6.576867949991688
40,0.019502719502719503,0.039005439005439006,0.013714103547598123,0.6571935690915576,53.5,0.8069895337043589,8.095746323476776,-6.478275591358328,6.378394945551644
41,0.01631895881895882,0.036264352931019594,0.009953296632415995,0.6541781232280658,52.75,0.8078169254858723,8.104555630760297,-6.499574948304567,6.388467860962779
42,0.01202724358974359,0.030068108974358975,0.007807790293954382,0.6503152785120976,50.75,0.8131157304312613,8.084521603188628,-6.906230622870371,6.359746347060442
43,0.008982371794871796,0.025663919413919413,0.0076878735656388504,0.6526743505501272,51.0,0.8150977388996833,8.088774712858164,-7.000799188604741,6.459670023273079
44,0.006586538461538461,0.021955128205128203,0.007758343603197879,0.6462225129354383,50.25,0.8149229329722827,8.113105717857035,-7.031727083176978,6.330666800698372
45,0.0037740384615384615,0.015096153846153846,0.007622662786155393,0.6412503158381673,50.5,0.8140982430057291,8.13215532006966,-7.000321883057985,6.412228181744005
46,0.004086538461538462,0.020432692307692308,0.005280802971010041,0.6437622412301187,50.25,0.8135249947746064,8.121087365061367,-7.006477503986726,6.436188574243263
47,0.0025240384615384617,0.016826923076923076,0.004853855580137964,0.6479045784472119,50.25,0.8151631469898442,8.126096553124512,-7.072940632756261,6.603101754029378
48,0.0015625,0.015625,0.00519272973052987,0.6480955874365077,50.0,0.818252801004016,8.129473332930854,-7.040480314832448,6.748334035118336
49,0.0,0.0,0.0053270002737845195,0.6477375093412653,50.25,0.8156527297237592,8.11614769537394,-7.0143949545866064,7.061028762394823
