"key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one"
1,0.05714285714285714,0.04040937803692906,0.0190164634348648,0.682567047277668,21,0.853161164865745,3.507169712938743,-16.44033455323971,1.5184714772825079,0.0017857142857142859,0.03571428571428571,0.006595928361864794
2,0.06458333333333333,0.051290760869565216,0.02303773333969122,0.6833222544023037,21,0.843322000069313,3.508665947156473,-16.461046997315844,1.5276466244973719,0.004166666666666667,0.08333333333333333,0.05390162468934695
3,0.06904761904761905,0.05067925188184207,0.020264934563015986,0.6850852153059416,21,0.8253954810642133,3.5172453263783154,-16.455253849776025,1.568266914718384,0.0,0.0,0.0031085522618893202
4,0.07250000000000001,0.06265763222284962,0.02270543503793081,0.6852797877055653,21,0.82161320357321,3.5179571709681854,-16.45644159283536,1.5856932439359968,0.0075000000000000015,0.15,0.06474070463358812
5,0.065,0.08424603174603175,0.022975059924902046,0.6855788827836587,22,0.8288734404830878,3.5307403746275767,-16.357754227845835,1.7066116893805379,0.0075000000000000015,0.15,0.08504364527097545
6,0.0638888888888889,0.03524720893141945,0.0164888454836313,0.6855209225294735,23,0.83361087074479,3.5424965265789385,-16.287037436835934,1.8170489889533021,0.0,0.0,0.005199106357651291
7,0.06764705882352942,0.03854769161846705,0.017220960929096227,0.6857754610715913,23,0.8250622322019014,3.5448193555199987,-16.27816246108886,1.8648750324087005,0.0029411764705882353,0.058823529411764705,0.01057595676765858
8,0.06470588235294118,0.038474213214697635,0.01749353959082597,0.686841181342243,23,0.8270060500788567,3.5462408915166024,-16.31056001245027,1.8664790551495498,0.0029411764705882353,0.058823529411764705,0.010101571961470808
9,0.061764705882352944,0.03844733732804456,0.017745401263507328,0.6879069016128948,23,0.8289498679558122,3.5476624275132065,-16.360119777318655,1.6789395638640934,0.0058823529411764705,0.11764705882352941,0.02557929510299841
10,0.059375000000000004,0.03671875000000001,0.018143364635314563,0.6898942117085096,23,0.8375365858430666,3.5569136567727964,-16.279637561385183,1.771944884369035,0.0,0.0,0.0034233968022588093
11,0.06333333333333332,0.040683760683760686,0.019787682922422743,0.6904742413348457,23,0.8270743082932308,3.5605073382522545,-16.23499423046486,1.8072094403262118,0.0033333333333333335,0.06666666666666667,0.014155329583633362
12,0.05999999999999999,0.037593984962406006,0.019622959669200947,0.6896951628110599,24,0.8303267274098418,3.5622757206412508,-16.180562451741718,1.8830448729250155,0.006666666666666667,0.13333333333333333,0.026307891068984034
13,0.05333333333333333,0.035481635481635486,0.01905383107354984,0.6913589285662937,24,0.8328187127134308,3.5672355963314946,-16.121915108771223,1.9850454674723232,0.0,0.0,0.0021813083279724707
14,0.05333333333333333,0.03703703703703703,0.01964673686882012,0.6913589285662937,24,0.8328187127134308,3.5672355963314946,-16.111881442237028,1.9967564799376998,0.0033333333333333335,0.06666666666666667,0.011413301117037804
15,0.05333333333333333,0.03878787878787879,0.02015068554147999,0.691359682067714,24,0.8328186397181837,3.568067642631733,-16.055294243530593,2.0836078000344576,0.0,0.0,0.002390048567145424
16,0.05333333333333333,0.0407843137254902,0.02083750871439173,0.691359682067714,24,0.8328186397181837,3.568067642631733,-16.04493082688417,2.0968648995627874,0.0,0.0,0.003713026321039184
17,0.061538461538461535,0.04972804972804972,0.024569869685377214,0.6929236689529825,24,0.8289361181406558,3.578076751562627,-15.987090334544531,2.212146821611974,0.0,0.0,0.002792038886768687
18,0.061538461538461535,0.052884615384615384,0.025721953783734156,0.6929236689529825,24,0.8289361181406558,3.578076751562627,-15.975427147818502,2.2282068281348693,0.0038461538461538464,0.07692307692307693,0.014509120060242195
19,0.057692307692307696,0.05423608649415101,0.026732774039842828,0.692118593919,24,0.8326480081561427,3.5799952356279023,-15.912872321131884,2.306703814177975,0.0038461538461538464,0.07692307692307693,0.017200023020128203
20,0.05384615384615385,0.05641025641025642,0.02801997856209015,0.6920326558494186,24,0.836356239977932,3.5836308396102314,-15.841001489264388,2.3997913327192637,0.0038461538461538464,0.07692307692307693,0.028472945530837734
21,0.05000000000000001,0.047214854111405836,0.026026176979663553,0.690305950597156,25,0.8401084949795882,3.5876324329504077,-15.763790950201864,2.5270579845726764,0.0038461538461538464,0.07692307692307693,0.01732432427292828
22,0.04615384615384616,0.04945054945054945,0.027101360606498377,0.6894584839718612,25,0.8438203849950751,3.5895509170156825,-15.690416976833008,2.619310675187882,0.0,0.0,0.004803608418017114
23,0.04615384615384616,0.056980056980056974,0.029807205658319475,0.6894584839718612,25,0.8438203849950754,3.5895509170156825,-15.677599213284022,2.6417817665869867,0.0,0.0,0.0029639119691684587
24,0.04615384615384616,0.07100591715976332,0.03459161911842489,0.6894584839718612,25,0.8438203849950751,3.5895509170156825,-15.664576202001696,2.66577797446764,0.0038461538461538464,0.07692307692307693,0.027096553146571535
25,0.04583333333333334,0.03666666666666666,0.0245061203273477,0.688894309555903,26,0.8524206084061138,3.5923848002220495,-15.647011029138019,2.8431671478874647,0.0,0.0,0.0029377785186172644
26,0.05,0.04166666666666667,0.02778012573564567,0.6912827315978906,24,0.84982026758886,3.564108727540678,-15.926999131748225,2.406925193483034,0.009090909090909092,0.18181818181818182,0.11162017531902985
27,0.04090909090909091,0.035573122529644265,0.0263377233931726,0.6922353294444142,24,0.8518171105924885,3.579917332788337,-15.848625127463947,2.546465386772977,0.004545454545454546,0.09090909090909091,0.09351828148747597
28,0.039999999999999994,0.03636363636363636,0.018791302098118533,0.6911127496067438,25,0.8456925617204138,3.5970103145303147,-15.628400495542413,2.8616824518888553,0.0,0.0,0.002460932570168078
29,0.039999999999999994,0.03809523809523809,0.019552064209247825,0.6911127496067438,25,0.8456925617204138,3.5970103145303147,-15.612024686028292,2.919189928476497,0.005,0.1,0.10133155911948352
30,0.034999999999999996,0.034999999999999996,0.01546941813850053,0.6899611770477936,25,0.8505713644980271,3.6062502990630896,-15.518300342253188,3.1080881737063555,0.005,0.1,0.10405928356165102
31,0.030000000000000006,0.031578947368421054,0.010871479865070022,0.6915761576336612,25,0.8469041589856673,3.618211886176984,-15.601831315570891,2.8732065644281772,0.005,0.1,0.013688540699870666
32,0.027777777777777776,0.0308641975308642,0.01190586628661575,0.6953635396575777,25,0.8336632166692604,3.633772445190116,-15.439116633176537,3.1171370125263502,0.005555555555555556,0.1111111111111111,0.11355283578684529
33,0.022222222222222223,0.026143790849673203,0.005934611103954552,0.6928177359159332,26,0.8390161043767256,3.644152200713391,-15.319680183744026,3.359893116455211,0.0,0.0,0.004621032497894965
34,0.022222222222222223,0.027777777777777776,0.0060224173468845545,0.6928177359159334,26,0.8390161043767256,3.644152200713391,-15.301153180582917,3.407111902977336,0.0,0.0,0.0025372134768392777
35,0.022222222222222223,0.02962962962962963,0.0062605399605167155,0.6928177359159334,26,0.8390161043767256,3.644152200713391,-15.282291649379845,3.4596420667089345,0.005555555555555556,0.1111111111111111,0.017008069238768884
36,0.01666666666666667,0.023809523809523808,0.005519135007901587,0.692792085691224,26,0.8390169827977494,3.6443323200339037,-15.263199061359238,3.519487485090349,0.0,0.0,0.0047710256998223805
37,0.01666666666666667,0.025641025641025644,0.005549967097299258,0.692792085691224,26,0.8390169827977494,3.6443323200339037,-15.244061188311045,3.5902392561938554,0.0,0.0,0.00644900756182717
38,0.01666666666666667,0.027777777777777776,0.005484224410421094,0.692792085691224,26,0.8390169827977494,3.6443323200339037,-15.22520293231606,3.6794881526583767,0.0,0.0,0.0009210895778405596
39,0.01666666666666667,0.0303030303030303,0.005911326385894213,0.692792085691224,26,0.8390169827977494,3.6443323200339037,-15.207189572682271,3.809311757574516,0.005555555555555556,0.1111111111111111,0.009612239210531115
40,0.011111111111111112,0.022222222222222223,0.005566938764999029,0.694052228699495,26,0.8418621807734755,3.645176781664154,-15.30212497190092,3.6779706579056954,0.005555555555555556,0.1111111111111111,0.00951567445857321
41,0.005555555555555556,0.012345679012345678,0.005120138440009452,0.6926055506959593,26,0.8463592263890425,3.646743644818398,-15.399307913739051,3.477135764680595,0.0,0.0,0.00306212036147518
42,0.00625,0.015625,0.005979921137335372,0.6940320236187707,26,0.8323056075770628,3.6647105460980827,-15.213850488206546,3.8027629092957698,0.0,0.0,0.0014246332988746033
43,0.00625,0.017857142857142856,0.006573869909360722,0.6940320236187707,26,0.8323056075770628,3.6647105460980827,-15.199992316278705,3.859064646496587,0.0,0.0,0.008406609344632894
44,0.00625,0.020833333333333332,0.006265393366056995,0.6940320236187707,26,0.8323056075770628,3.6647105460980827,-15.186004707941281,3.920811443182944,0.00625,0.125,0.014371056404285966
45,0.0,0.0,0.004651115000666379,0.6932502650404658,26,0.8372980983777166,3.6666402505114553,-15.077368002200759,4.099220451924948,0.0,0.0,0.005180102046151103
46,0.0,0.0,0.004519698370621227,0.6932502650404658,26,0.8372980983777166,3.6666402505114553,-15.062642537813485,4.181762716456653,0.0,0.0,0.006439959646102358
47,0.0,0.0,0.0035786157811241856,0.6932502650404658,26,0.8372980983777166,3.6666402505114553,-15.047827893476308,4.279429337724261,0.0,0.0,0.0017282958174170459
48,0.0,0.0,0.004452200087194016,0.6932502650404658,26,0.8372980983777166,3.6666402505114553,-15.03293343533455,4.403168315339472,0.0,0.0,0.006567780649700706
49,0.0,0.0,0.00233890568467675,0.6932502650404658,26,0.8372980983777166,3.6666402505114553,-15.017970294285087,4.587268591500008,0.0,0.0,0.00233890568467675
