key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one
1,0.008125,0.004549938478509907,0.0019491344632303783,0.7135975243848607,20.5,0.9262188900818579,9.004378823233196,-18.14941996629206,0.501611168169584,0.0,0.0,0.0018846499982198386
2,0.0,0.0,0.0022570602205873235,0.7109448782586536,20.5,0.9390909282616419,9.011493484690027,-18.14887723401289,0.5070192355339803,0.0,0.0,0.00044161216528187697
3,0.011607142857142858,0.008543767456666393,0.0023311015171192757,0.713379957793465,20.5,0.8924857991628902,9.003946492504781,-18.12148835824973,0.5185108851950546,0.0,0.0,0.0005585499098629278
4,0.02125,0.016686795491143318,0.007878568418128406,0.7110030936887008,20.5,0.8548347465348063,9.014284838862704,-18.10072103699978,0.5908461456813834,0.004166666666666667,0.08333333333333333,0.018040055870340906
5,0.008333333333333333,0.003703703703703704,0.0033719506844973883,0.7118302512161154,20.75,0.9044643610812195,9.02470150552937,-18.08002959349615,0.6711480065383014,0.0,0.0,0.0010697550095696545
6,0.020000000000000004,0.009090909090909089,0.005982638599924127,0.6604844926480914,20.666666666666668,0.8892879617133594,9.060600056672076,-18.01515945431956,0.608923530720206,0.0,0.0,0.0012874382958072224
7,0.036250000000000004,0.016860465116279068,0.004890840554970347,0.7115672128293404,20.5,0.7147496519299247,9.013168297193634,-18.070131111443747,0.6578309633305772,0.0,0.0,0.0008380347325812911
8,0.06666666666666667,0.031746031746031744,0.02349044311220884,0.7573144311123207,20.333333333333332,0.7852476888010561,8.858181815250482,-17.82684578440507,0.9119310093112508,0.016666666666666666,0.3333333333333333,0.08459363135431301
9,0.0025,0.0012195121951219512,0.0009051101877951504,0.7079893042464969,20.0,0.9419370050421516,9.037555515949041,-18.038501933855766,0.637921615706566,0.0,0.0,0.0006996860722605798
10,0.013888888888888888,0.006944444444444444,0.0036745070792818537,0.6817619904680944,20.0,0.8359584399464932,8.979161024060591,-18.558468591961688,0.2913134306770495,0.0,0.0,0.0017088863520679542
11,0.0,0.0,0.0016889257502041254,0.7143362353691538,20.25,0.9289105554123684,9.011493484690027,-18.167719789538765,0.6335121367477862,0.0,0.0,0.0007383956150503274
12,0.005,0.007565789473684211,0.006159183033614705,0.7130078198705041,20.75,0.8473937729256731,9.0040299176221,-18.1654294383792,0.5744909452914394,0.0,0.0,0.0033614303549353757
13,0.04375,0.02364864864864865,0.010288468255016038,0.714013186144836,20.5,0.8864330932424178,9.002831664979905,-17.88046698464067,0.9856714727754685,0.0,0.0,0.002488156267801792
14,0.030208333333333334,0.016782407407407406,0.0054947237893667915,0.710541058440749,20.5,0.875546768472148,9.008368484690028,-18.111398919340736,0.5513772319882991,0.0,0.0,0.0004968130294613245
15,0.0125,0.007142857142857143,0.00253870816180366,0.7162380676970392,20.0,0.8756275070459398,9.030243484690025,-17.947959428010975,0.6463815210187667,0.0,0.0,0.0005881432813561009
16,0.005555555555555556,0.0032679738562091504,0.002925425646631625,0.7548591922135325,20.0,0.8478384609294225,9.18696337612952,-17.75127880227674,0.7751281604248943,0.0,0.0,0.00033619964057670314
