"key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity"
1,0.052500000000000005,0.039520297532515576,0.016550844154816325,0.7879736356910864,44,0.8465372166654097,7.146320723248165,-5.101209520564197,8.553385945593854
2,0.05000000000000001,0.03884755634755634,0.01917514212055253,0.7493542976869564,50,0.8321674716973335,7.1931170011089876,-5.210051851431836,7.791057162066802
3,0.047142857142857146,0.038489457887812974,0.018216745759476554,0.7428741260909825,53,0.8278942710909457,7.266054108375172,-5.506494600066284,7.263343251267688
4,0.04852941176470588,0.04302927976107606,0.017782914673746687,0.722090544075765,55,0.8177000325516172,7.294382935327204,-5.220919720056652,7.714473204230023
5,0.046969696969696974,0.05080458262276444,0.019977234476721433,0.7005248890387855,50,0.8209895631862195,7.347335996601174,-5.21948151325019,7.1665921435689794
6,0.040625,0.028264276828155507,0.013717195209535744,0.6870397821779873,52,0.823966295205385,7.428247840756601,-5.162575614935164,7.080509576446611
7,0.041935483870967745,0.030849826995435974,0.014529136021611802,0.6951337955506669,51,0.8282410626480722,7.424849944090126,-5.27878314243875,6.898055703352249
8,0.043333333333333335,0.03393361876914509,0.016083997671073654,0.7016273670150339,52,0.8343308764723478,7.440702280845766,-5.378289011837765,6.997682036689988
9,0.05,0.04275586106048137,0.018310897925963254,0.6973534045941171,50,0.8113206535960296,7.429530400182507,-5.642918233971474,6.661627707845902
10,0.046000000000000006,0.044114845938375356,0.019338217041238972,0.6967621703059973,51,0.8097818783913523,7.432128321425474,-5.650200408104272,6.777958794667731
11,0.04791666666666667,0.05113852662344042,0.02668910439243857,0.693335579400263,50,0.8107667654064393,7.461616430212264,-5.71758966796699,6.776155354650973
12,0.05,0.06122098725073553,0.03251935537103714,0.6988495149064409,49,0.8064767030135662,7.420892863440526,-5.9245555151360625,6.693915952794086
13,0.05217391304347826,0.07555692338301033,0.04088279486114708,0.7087025859898946,49,0.8045926250446355,7.433168966325093,-5.922577053131517,6.672977394644633
14,0.05217391304347826,0.1064659977703456,0.035072375491262985,0.715468279059236,48,0.8108322545060911,7.425696984382277,-5.966802125298649,6.508553709387838
15,0.04772727272727273,0.0595021645021645,0.022217077122272652,0.6988882655644745,50,0.8025967340499512,7.46427817129742,-5.81169412778879,6.774075139095133
16,0.04523809523809524,0.0763411425176131,0.029115258653360107,0.6997211625471127,51,0.7961818074139024,7.443826465786347,-5.7487156790784875,6.882123912980071
17,0.0375,0.026212121212121214,0.016846697973548257,0.6922175336842166,50,0.8114853906984856,7.471027540374135,-5.7230145129966115,6.7036104261189555
18,0.039999999999999994,0.028993055555555557,0.017627814102809704,0.6928119483203593,50,0.8093860338578983,7.468213713168926,-5.727012875690809,6.67525808924976
19,0.0375,0.028830645161290313,0.018930612022389593,0.6844125489255668,50,0.810937834741504,7.472250487779213,-5.636552654042957,6.675365424818433
20,0.034210526315789476,0.02280701754385965,0.01663695926275179,0.6858350780658602,50,0.8213151011772628,7.500168027345119,-5.801482638057355,6.758485756044552
21,0.034210526315789476,0.023593466424682397,0.016827203913307137,0.6793299687207057,50,0.8218802793531012,7.521866224740887,-5.704199141204734,6.833878959329707
22,0.03333333333333333,0.023809523809523805,0.018297426186233735,0.6797277407024919,52,0.8141638387957147,7.492354630144874,-5.780962201649695,6.713967925853837
23,0.030555555555555558,0.022633744855967076,0.01871060953818994,0.7022265924321535,54,0.814940041478847,7.457657519541142,-5.910923363266053,6.592665390540459
24,0.030555555555555558,0.023504273504273504,0.01929337434737251,0.7068641644871304,53,0.8168147334123026,7.444540883369914,-6.0622909676164705,6.657703735666327
25,0.03235294117647059,0.028054298642533938,0.020494503929709824,0.682039090136776,52,0.8103179409854829,7.455939164472962,-5.978752171669747,6.607496170314118
26,0.029411764705882353,0.026960784313725488,0.020721384164144215,0.6923332053738142,50,0.8090385152096952,7.463840707885043,-6.083858615525624,6.552816296383702
27,0.03125,0.030138339920948616,0.02252285442871922,0.6949015285002863,51,0.8299439361014698,7.466299807404397,-5.489141105417225,6.787783816842028
28,0.028125,0.02897727272727273,0.017298202990522493,0.6920093236396254,50,0.8323376977663104,7.486222444621335,-5.417386314344213,6.716762846524522
29,0.025,0.023809523809523808,0.01764533061060013,0.6922269016997845,49,0.8301311592020042,7.484582841311331,-5.199028190485681,6.579364369335684
30,0.025,0.025,0.018542093991551673,0.7016078548945811,49,0.8277828646585202,7.501053587768177,-5.358987117965367,6.462588366061522
31,0.025,0.02631578947368421,0.018943882162146212,0.6964854604395186,48,0.8364528143904406,7.5149258948917135,-5.327525669529403,6.352363801998508
32,0.025,0.027777777777777776,0.020007310290156954,0.6930325638409102,48,0.8254647977703398,7.553854207977742,-5.2298392246870655,6.487304823543795
33,0.015625,0.018382352941176468,0.01878007892799287,0.683546897709562,54,0.8310350316568687,7.44301435968756,-4.860341465671469,7.137027146698101
34,0.015625,0.01953125,0.019601766220905925,0.6919648522003709,55,0.8256435489197793,7.454635340592592,-4.894168644972381,7.2843792446755575
35,0.018750000000000003,0.025,0.0209150581074049,0.6983786389265643,55,0.8256834465603533,7.485117125795969,-5.109150276311629,6.846637894935645
36,0.020000000000000004,0.02857142857142857,0.024112607656496587,0.6916055860398961,51,0.8201209881026224,7.481926334462214,-5.190261950312475,6.749376197120395
37,0.016666666666666666,0.025641025641025644,0.014633885811847932,0.693939198036831,51,0.8190302455094578,7.505441085519245,-5.319110197159776,6.32519627372781
38,0.017857142857142856,0.02976190476190476,0.016690923102554912,0.6977486311467437,52,0.8241106721811908,7.4903448866531965,-5.368061586926298,6.234296159911588
39,0.014285714285714287,0.025974025974025976,0.01768960519957452,0.6828322370585249,51,0.8287384924358381,7.48691772446603,-5.286359510074812,6.158077357368315
40,0.015384615384615385,0.03076923076923077,0.020666542211173325,0.6744649992402124,53,0.8323229167550162,7.521260794532277,-4.998220186141826,6.455450786351096
41,0.01153846153846154,0.02564102564102564,0.005484242941032369,0.674630131183388,49,0.832558216648467,7.545622336559922,-5.037125487204225,6.3325230151607705
42,0.007692307692307693,0.019230769230769232,0.005061554509071388,0.6701733147121608,47,0.8383701021852719,7.5675002223642815,-5.030467308619493,6.058525190399652
43,0.0038461538461538464,0.010989010989010988,0.005060807328892742,0.6710228861501567,47,0.8419002621176184,7.572942674284585,-5.030793063883938,6.172012344330748
44,0.0038461538461538464,0.01282051282051282,0.005352416345297547,0.6780675738522656,47,0.8393541461831546,7.571392810180821,-5.167097677889233,6.50251559316776
45,0.0038461538461538464,0.015384615384615385,0.004625437830438858,0.6581248124669299,47,0.840715610560941,7.597979318928519,-5.095501656503791,6.66478889918327
46,0.0038461538461538464,0.019230769230769232,0.004025293356189238,0.6697051070820385,47,0.8444470635444966,7.579787421071119,-5.1868127024806245,6.439461915967704
47,0.0038461538461538464,0.02564102564102564,0.004744050894650597,0.674540685467124,47,0.8457060817540812,7.5771059902853235,-5.413570401967982,7.146930747662776
48,0.0,0.0,0.002422327102028774,0.6886904232205798,48,0.846590094716378,7.537895887287515,-5.593673846031208,7.552831334370831
49,0.0,0.0,0.0031647353930783686,0.693166435685933,48,0.8458947803834563,7.516658962519348,-5.5419530593380575,7.933117466884666
