key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one
22,0.04888393673698535,0.043602234015347144,0.006023642463162681,0.28640379064213056,468.25,0.28574238171742733,6.827087749900397,0.4075247951637748,4.806614814781328,0.0061333033070903615,0.12266606614180722,0.016965405848796807
23,0.051595491475379854,0.06048214799296286,0.008947374045193503,0.28049916054114726,463.0,0.27580487370001555,6.838560723031146,0.43285390860661777,4.626498918726587,0.011701203196486206,0.23402406392972414,0.03334912641927932
24,0.045646396273846465,0.04298404089715387,0.006264661376410487,0.2766381791678012,467.25,0.2709917945019784,6.786426733247985,0.43251916450695743,4.563141280073416,0.006649287702247606,0.13298575404495214,0.01839006521557371
25,0.049821302746142423,0.060962519694926984,0.008232269396637681,0.27393668102599356,465.25,0.2645223709538632,6.772412010285795,0.4375562734993496,4.4810449172706655,0.011338449237868064,0.22676898475736126,0.030429212673565992
26,0.0441946456803906,0.04522827746734655,0.005968711951168821,0.2715861008066077,470.75,0.26116496437360903,6.747373229950874,0.4286632243892351,4.477410656092442,0.007122202287666523,0.14244404575333044,0.017080224156314078
27,0.04703537944107891,0.061759139528528136,0.008063640723056762,0.2661724064235749,470.25,0.2540217637842928,6.715802208534759,0.4281717219212018,4.400238122457999,0.010558178770005843,0.21116357540011685,0.027123572309833848
28,0.04274315230275494,0.04917271495237669,0.006374820657669451,0.2597307996153109,473.75,0.24889251993391917,6.680355165887224,0.424195233620987,4.3338311701841725,0.0072666338227478575,0.14533267645495718,0.01788542737308013
29,0.04367651575501061,0.06270504202079843,0.007863988226990908,0.25698577194867867,471.5,0.24421039704717828,6.64021777182002,0.4121654654707891,4.359098298806223,0.010897656344451768,0.21795312688903534,0.025452221176734575
30,0.03798141120095471,0.045386287156796386,0.006012903411454422,0.25487022931107484,477.0,0.2415667272928895,6.595018997108968,0.4046105102377891,4.339477238819647,0.007453308439976808,0.14906616879953616,0.01738469417340567
31,0.03958047517017796,0.05690937156159175,0.007085303069345591,0.24832832012966777,470.25,0.23541159229265896,6.60403124593717,0.4185748911898445,4.274078146610501,0.009143682025430306,0.18287364050860613,0.021660233189030428
32,0.03594919819186818,0.04588441801093518,0.005620999649670078,0.24675309717173666,469.25,0.23328468673550629,6.583961991144969,0.39643605355606826,4.293470742674835,0.0066128926129549685,0.1322578522590994,0.014180771211994604
33,0.03749396436953755,0.0590667260703002,0.007183624333446442,0.23960060907750158,459.25,0.22782619547822583,6.533459467218847,0.3957823441736705,4.272711507942606,0.009136441264881386,0.18272882529762774,0.020368896821507717
