key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one
20,0.0,0.0,7.135612027428841e-05,1.0,80.0,1.0,14.678181105805981,0.9999210511725698,0.22442468584551412,0.0,0.0,3.857731103892115e-05
21,0.0,0.0,0.00012764263410469878,1.0,66.66666666666667,1.0,14.532367116411123,0.999932551321252,0.20929486576595757,0.0,0.0,0.00024002486918349596
22,0.0,0.0,0.00013795154796836774,1.0,53.333333333333336,1.0,14.96686021418079,0.9999568599528619,0.17975334892640485,0.0,0.0,4.365081621543268e-05
23,0.0,0.0,9.82395530000317e-05,1.0,33.333333333333336,0.9777777777777779,14.40993675852158,0.9999326091583965,0.21207747372759014,0.0,0.0,5.147602598323223e-05
24,0.0,0.0,0.00010055125139376062,1.0,33.333333333333336,1.0,14.65362959113555,0.999948245953283,0.18902001710298177,0.0,0.0,3.619732225592378e-05
25,0.0,0.0,5.755754087039949e-05,1.0,33.333333333333336,1.0,14.845275854949621,0.9999461474070267,0.1923409068583519,0.0,0.0,7.212650079680731e-05
26,0.0,0.0,0.00018813816363657501,1.0,26.666666666666668,0.9833333333333334,14.746049708079605,0.9999390244589085,0.2086995493752701,0.0,0.0,7.772590250250767e-05
27,0.0,0.0,0.00011191558270726494,1.0,26.666666666666668,1.0,14.485408646677314,0.9999454029903957,0.1988203692435864,0.0,0.0,6.372618132262661e-05
28,0.0,0.0,8.672020602727881e-05,1.0,26.666666666666668,1.0,14.99472748846543,0.9999356659204072,0.20613000613831212,0.0,0.0,4.5690829433691087e-05
29,0.0,0.0,8.062476304129721e-05,1.0,26.666666666666668,1.0,14.782206768993214,0.9999402757500921,0.2064312052141324,0.0,0.0,5.245421956807442e-05
30,0.0,0.0,7.38132879920526e-05,1.0,26.666666666666668,1.0,14.459927609007815,0.9999430175745495,0.19266867755403105,0.0,0.0,8.681903603919047e-05
31,0.0,0.0,0.00010159955211677484,1.0,26.666666666666668,1.0,14.581264200578337,0.9999378520587006,0.2010055814310103,0.0,0.0,7.19488722764302e-05
32,0.0,0.0,0.00015673817785689863,1.0,26.666666666666668,0.9833333333333334,14.383562458663107,0.9999424173717454,0.19998460529541753,0.0,0.0,0.0002912931952906319
33,0.0,0.0,5.435616444090865e-05,1.0,26.666666666666668,1.0,14.60824765878988,0.9999418243534777,0.20037085596727597,0.0,0.0,9.051285757399495e-05
34,0.0,0.0,0.00011826382638183701,1.0,26.666666666666668,1.0,14.699263141159056,0.9999474158658757,0.19767631785954934,0.0,0.0,3.7929823502779506e-05
35,0.0,0.0,4.687610871485511e-05,1.0,26.666666666666668,1.0,14.86246530248915,0.9999450848701709,0.19291475886385126,0.0,0.0,5.348991339134004e-05
36,0.0,0.0,3.706989052995996e-05,1.0,40.0,1.0,14.609069225168392,0.9999297249226831,0.2198153904094617,0.0,0.0,3.7642807314081346e-05
37,0.0,0.0,3.592437967152727e-05,1.0,40.0,1.0,14.43438929998603,0.9998567158798595,0.274457872405278,0.0,0.0,3.592437967152727e-05
38,0.0,0.0,3.592857399489814e-05,1.0,20.0,1.0,14.555298671403037,0.9999548043658051,0.17960803518163454,0.0,0.0,3.592857399489814e-05
