key,BasicRNNCell,LSTMCell,GRUCell
1.0,8.491662493550155,7.5125201509260835,8.003300182600409
2.0,8.485035955669115,7.72288632863835,7.965994667385648
3.0,8.431632407618777,7.8961664652112065,8.126335732962808
4.0,8.414088574047728,7.977551900039092,8.144928621408138
5.0,8.439533332559291,8.08434477409723,8.192171892017369
6.0,8.314518506603381,8.205321565756226,8.168817832493852
7.0,8.439138584822741,8.197523628864333,8.232028707572695
8.0,8.354418871940137,8.199526242289222,8.184909210205982
9.0,8.476703058585068,8.168679157950127,8.179454466805643
10.0,8.318005785595386,8.224376372776701,8.218992149473056
11.0,8.389057255057862,8.267402625712466,8.259481345408604
12.0,8.36825400435155,8.327704754870464,8.254229359219577
13.0,8.399215521691508,8.277011673363349,8.21668494722905
14.0,8.39088544627365,8.234590560668465,8.216768896266743
15.0,8.384971209518469,8.340669502964655,8.210368080669733
16.0,8.404092037236344,8.329762909230077,8.234337364237653
17.0,8.366363959662092,8.277526670909525,8.283970139507176
18.0,8.412521818920888,8.319268851014977,8.24839433311034
19.0,8.434292933401654,8.297827440425996,8.25294188340824
20.0,8.411477109971294,8.326116522761586,8.285825098702805
21.0,8.396253562381585,8.306458182610228,8.266942866148835
22.0,8.373496502139414,8.27571339560006,8.240983897387927
23.0,8.431670189060073,8.296424282691287,8.220657546920899
24.0,8.333461336366549,8.328573847750512,8.227776249834605
25.0,8.40059320653896,8.338835095307813,8.218003864020364
26.0,8.35516432792733,8.27042052302313,8.201828048514871
27.0,8.358039701555667,8.279119940195175,8.202568541413303
28.0,8.354791389425557,8.261173372202451,8.235341892137495
29.0,8.335167335213043,8.253405939265754,8.209284444269954
30.0,8.334384317195825,8.254828272178953,8.205621576481128
31.0,8.347471882715004,8.217905412203057,8.194630787460015
32.0,8.390028134252322,8.227248263521783,8.161301755978714
33.0,8.32507150426979,8.246718438959485,8.182580895351725
34.0,8.34937099399184,8.255290497147026,8.163717675231023
35.0,8.369318749046023,8.24145217887399,8.13764829976242
36.0,8.332420037291103,8.246547417913444,8.139665299197576
37.0,8.34263792536981,8.225912807900233,8.130337232976968
38.0,8.368416854689738,8.212516771880594,8.123634367173324
39.0,8.306032020148844,8.217456780393524,8.129491088831015
40.0,8.29166818594456,8.198336217007588,8.107351980911757
41.0,8.30814203368736,8.225101668477546,8.115588531644903
42.0,8.323087421349738,8.233341243618362,8.12870456288881
43.0,8.309467957589058,8.208526175741817,8.110476188955731
44.0,8.352162217471506,8.210293489644828,8.12894328222959
45.0,8.323548457881296,8.203345715222923,8.100538197494464
46.0,8.299744326224886,8.213751203788672,8.085241830060433
47.0,8.293339651413616,8.209328752848847,8.095532273260124
48.0,8.313681075788002,8.216239583189324,8.108287825870446
49.0,8.287162917109237,8.212435091983142,8.099368268993492
