key,BasicRNNCell,LSTMCell,GRUCell
1.0,0.9480151359170116,0.9909191691672922,0.9696908145375694
2.0,0.8987428691988181,0.9608351137567399,0.9256185222541998
3.0,0.8592938178078428,0.9293325147053308,0.8710496030961333
4.0,0.8067667026480827,0.8649494477440657,0.8247011125551083
5.0,0.7698211722236875,0.8183756341545176,0.7915876096104011
6.0,0.7107929251706553,0.7523405730680595,0.7621605385242028
7.0,0.721035628208534,0.7099829339342283,0.740940052822381
8.0,0.701894950919001,0.6554001454613225,0.738775664233322
9.0,0.6330751957883722,0.5821803897971747,0.7113438742057545
10.0,0.6866369548197995,0.5456413690768557,0.6748848998862098
11.0,0.5545686387621046,0.5009684005907149,0.6663900412767968
12.0,0.5905034022573801,0.5334986098771549,0.6854792071891507
13.0,0.5662782594420223,0.4785400048272551,0.5961113456739571
14.0,0.6140702906611208,0.4740960112131047,0.5162501365538485
15.0,0.5490459513272598,0.4815252093992939,0.5435401192064487
16.0,0.5581856803682127,0.34846054373251906,0.4322606705765007
17.0,0.5539169842681572,0.3477686286478812,0.3819824365879372
18.0,0.5213953427046998,0.3966462469816592,0.4148808272157601
19.0,0.4174447292697307,0.2781086198448924,0.4247701548324716
20.0,0.44940419841692,0.28327057775595815,0.34646661309790555
21.0,0.39662074318907775,0.18498359128074005,0.4013080104067656
22.0,0.4567221007406222,0.1683601266410619,0.34961991668955456
23.0,0.4025966761250104,0.16952256923396133,0.4231153939194736
24.0,0.43903037387364563,0.16597126871101775,0.4673778648355398
25.0,0.35692265397440726,0.2373880219397753,0.4646922794123323
26.0,0.4024556494172,0.0974413804744827,0.24359319689653558
27.0,0.4110961350043294,0.15236157878927084,0.4471884541220872
28.0,0.39460904612452824,0.11284330692469469,0.3767681699446801
29.0,0.5052446368742655,0.21251214012234235,0.3911571072166344
30.0,0.5607270921589395,0.21904426388211473,0.3611797569826903
31.0,0.5356434821095506,0.22899428684227793,0.4169091139374936
32.0,0.392412071342712,0.23183319805320782,0.45302720205278374
33.0,0.43697167646956653,0.16676619907251625,0.7294422528113005
34.0,0.5102861678256403,0.1399087550209495,0.3973996201289749
35.0,0.36438354313121657,0.11676268460048657,0.7381930669407404
36.0,0.5302764560437618,0.3802764560437618,0.6802764560437617
37.0,0.23357005156068988,0.35021136546380305,0.850211365463803
38.0,0.15003802914533032,0.05,1.0
