key,BasicRNNCell,LSTMCell,LSTMCellDiversity
1.0,0.19038311554502296,0.30930763753032775,0.3086543418219625
2.0,0.1730493338733457,0.29272221372915275,0.29214245162614383
3.0,0.15212340229871074,0.2676213227769487,0.26534761589919503
4.0,0.13697312252300614,0.24885494673084624,0.24561966546460828
5.0,0.1255822417283355,0.22993474302225336,0.2259890011236863
6.0,0.11886425534697381,0.22005174273427783,0.21648135494690576
7.0,0.10790064727156892,0.20289258263864685,0.1996928123916477
8.0,0.10128732671239661,0.19103580668621706,0.1893310027817701
9.0,0.09668635258433919,0.18270145623385264,0.18066308914402254
10.0,0.09055453160680264,0.17454990473349472,0.17293939506885161
11.0,0.08366182183577309,0.16971431222870192,0.16252964691722213
12.0,0.08450384186562976,0.1671402127886757,0.16116751842163415
13.0,0.08108521603488111,0.1617763242679012,0.15812906820143852
14.0,0.081626094255839,0.1566085866336007,0.15419903341882296
15.0,0.07728285703129202,0.15337586429251915,0.15136831233058315
16.0,0.07605847342652493,0.14832352116854564,0.14578153969261667
17.0,0.07142283359706281,0.14100046265331306,0.1402816446154027
18.0,0.07550237117156071,0.14651867064501223,0.14199351271144087
19.0,0.07071141578045319,0.13890166202078447,0.14084554348514383
20.0,0.07448058926760186,0.13986528479571905,0.13689410801210147
21.0,0.0747926540534957,0.13996776922112222,0.1419169386628444
22.0,0.07385375336725236,0.1367439847137736,0.142872834463997
23.0,0.07323313501382797,0.1454881214527433,0.13736784588028073
24.0,0.0755798036269587,0.14266986646894408,0.13340725841427678
25.0,0.07040099717666196,0.1424670203808095,0.13951189854155954
26.0,0.07450229397848747,0.15025673143454454,0.14152396981904075
27.0,0.0674270484179391,0.13324119542701557,0.13087867798038816
28.0,0.06784433115963641,0.13907576895304563,0.1409066398680779
29.0,0.07936592482682092,0.14509679342674203,0.1387324902104261
30.0,0.07990780397157464,0.14007536466127293,0.14419616793628928
31.0,0.07955433326939373,0.14169699325577922,0.14168811273417384
32.0,0.07445261160903037,0.13788810906836202,0.1427460676935967
33.0,0.07128814149339849,0.14038897224176208,0.1401247553635326
34.0,0.07239436091312954,0.13939708025726288,0.13038122159229856
35.0,0.07252064680639236,0.1428665086153027,0.1378097336537304
36.0,0.07437200952023701,0.13643956970741414,0.13407316244999362
37.0,0.07645218499910726,0.14945181721833503,0.14798465190987095
38.0,0.07924130755946747,0.14516305382935557,0.14150673864410937
39.0,0.0842393011258163,0.1581077967983932,0.14528552918982512
40.0,0.09018136818877086,0.16243065068468418,0.162149444776828
41.0,0.08730054340189004,0.16268151711678674,0.15699848936784697
42.0,0.09195087656430818,0.17206124095090009,0.1656811442856126
43.0,0.08836675686492632,0.17317566985687205,0.16607158352600598
44.0,0.09344722190811039,0.1777847731293992,0.16616918626766872
45.0,0.09505627998502811,0.18665204208095065,0.184471691485045
46.0,0.10248489671037699,0.2011547015535187,0.18424174024364195
47.0,0.11176426129413126,0.2220192870972957,0.20568664550965451
48.0,0.12956585815185684,0.2278289500425597,0.23865904955575318
49.0,0.15085681323852407,0.2707781493344313,0.2759065958442158
