key,BasicRNNCell,LSTMCell,GRUCell
1.0,0.09091538576171392,0.06010217094858336,0.09475728759929192
2.0,0.11817699740718299,0.07970695771036036,0.12370140979520086
3.0,0.1238102208845579,0.09491770697469347,0.1276734042625533
4.0,0.125986034016967,0.10514916229152622,0.13387997521577788
5.0,0.1177528035726161,0.1135158523494785,0.13451649906834764
6.0,0.11718071124718714,0.11557721424649953,0.1313327931315475
7.0,0.12135311975514274,0.11993148328858647,0.12865510370731176
8.0,0.1161292959504293,0.11599895699943889,0.1262333345235048
9.0,0.11489644297230245,0.12373786307342709,0.12606362735489718
10.0,0.10947643828029743,0.12127479332821675,0.12280425507003842
11.0,0.11216157106762037,0.1203969836817388,0.12056003035615578
12.0,0.10939979209178234,0.12055334848662604,0.11746577699607463
13.0,0.11093154740683922,0.11837698495207391,0.11566652073509331
14.0,0.10421195540753253,0.1150846931205719,0.11441882508951218
15.0,0.09811553745019236,0.1136875806108337,0.11319318523399652
16.0,0.10063851941632979,0.11454674600083681,0.11132074590201914
17.0,0.09884780527926953,0.11226495597360103,0.10437271101330856
18.0,0.09474481102122427,0.10782012069277694,0.10166846495111961
19.0,0.09128071778017516,0.10210500871499482,0.10214770768289208
20.0,0.08906962360429335,0.09721165311902677,0.10022068209152954
21.0,0.08763097863090429,0.09713103924135784,0.09543206293950124
22.0,0.08635586279155781,0.09629917679647655,0.0927825140292208
23.0,0.08546452735267085,0.09036458060502306,0.08927883704707329
24.0,0.086171117019976,0.09054887569174558,0.08729625071014968
25.0,0.08109038150889647,0.09136431702478041,0.0866186499680622
26.0,0.08035801991733511,0.08663958288923451,0.08499040720733916
27.0,0.07474129482483839,0.08006862210540211,0.08467252225772906
28.0,0.07322216686289568,0.0802415357614421,0.0818285283196642
29.0,0.07000347418491494,0.07557605448937227,0.07773739444648406
30.0,0.06921439718087782,0.07453507299937023,0.07639486123176302
31.0,0.06846896016035932,0.07195280514577275,0.07343404868216459
32.0,0.06542925554464607,0.07164453329651962,0.07219511836929463
33.0,0.060729098518476826,0.06636268823736946,0.06743370432103665
34.0,0.059970280284112124,0.06484951751706683,0.06500677070942065
35.0,0.05800698106899957,0.06250488345416653,0.0608564522490967
36.0,0.05354029592154494,0.05925892889421739,0.05882419109351616
37.0,0.05089181767130864,0.05441433984554761,0.05555858347185297
38.0,0.04644739805901197,0.05142148610676122,0.05187272218758003
39.0,0.042677073073682674,0.04788930053784324,0.04945558843873937
40.0,0.04122879731802781,0.04278512433518484,0.04616800511539004
41.0,0.03663256801595416,0.040411699836504035,0.0418891356944737
42.0,0.032453222706761355,0.035974984697651896,0.037821426455027986
43.0,0.029523852738510485,0.032465819452622974,0.034053384937864306
44.0,0.0260553525778896,0.027734895990379815,0.029436962577396378
45.0,0.022203723678739316,0.024028854979984894,0.02576028620220096
46.0,0.017338928146848502,0.01906573179020153,0.02005078567050287
47.0,0.013743340459980612,0.014617870138444792,0.01570982364168768
48.0,0.008682379112701772,0.009725718921838187,0.009897775748982407
49.0,0.004455543690645467,0.0049062154365857305,0.004704858290925313
