key,BasicRNNCell,LSTMCell,LSTMCellDiversity
1.0,0.9191841969013348,0.8963741863743002,0.8996830603437638
2.0,0.9271056563855943,0.8894756415963484,0.8902300450064942
3.0,0.931572467020502,0.8889617241046086,0.8888661846703992
4.0,0.9353727150505772,0.8903645630210008,0.8914009574362773
5.0,0.9388720738794573,0.8921139545604095,0.8934758655269786
6.0,0.9397868880854481,0.8942883518996245,0.8951487670485768
7.0,0.9407911246021929,0.8982448012262041,0.9005652937275079
8.0,0.9416029828717399,0.9020648482993915,0.9036626493100107
9.0,0.9442614926697815,0.9024345833129516,0.9050711985772081
10.0,0.945569614164313,0.9033301532257221,0.9067659281323456
11.0,0.9473930493976745,0.9086490290322214,0.9109908537222948
12.0,0.9486810136957545,0.9090127012319562,0.9117177495978169
13.0,0.9479511094739406,0.9121342830082633,0.9125169885652592
14.0,0.9476228742761619,0.9130844997435907,0.9143416289243513
15.0,0.9470348285427439,0.911106594343177,0.9130949639003154
16.0,0.9497283549129782,0.9124545942640714,0.9161020065572687
17.0,0.949732504291233,0.9122061940046714,0.918567762788163
18.0,0.9513793790144328,0.9145600871495628,0.920646165867928
19.0,0.9510285450733089,0.9185987317160531,0.9197007001264453
20.0,0.9518660608537015,0.9190612776586286,0.9197652636922697
21.0,0.9515933518615803,0.9195065443723489,0.9226532657890213
22.0,0.9526082553919831,0.9221629514473506,0.9228889206264516
23.0,0.9522153184876587,0.9227513328940248,0.9254017938492785
24.0,0.9547747675724191,0.9254523504211043,0.9263943888207143
25.0,0.9560174420746133,0.9288624551751371,0.9280816604972782
26.0,0.955175075523327,0.9275576111486434,0.926153550107044
27.0,0.954609116072297,0.9271949913758832,0.926320217429018
28.0,0.9556315413619045,0.9228527082798269,0.9236111854649139
29.0,0.9540487865066035,0.9241552494232109,0.9222284913399936
30.0,0.9516229038040861,0.9239685693819881,0.9194664684797786
31.0,0.9541951081940991,0.9181237100531607,0.9173315696368544
32.0,0.9525736295788396,0.9243699563571164,0.9238924518567981
33.0,0.9547965132386755,0.926303101554755,0.928312390950036
34.0,0.9539093261005066,0.9278910770145086,0.9326822666454971
35.0,0.9525539608181379,0.9300586402525318,0.9317882385425567
36.0,0.9528562875665503,0.9285262829786202,0.9287947076213711
37.0,0.9531680788832558,0.922971481320333,0.928506671184645
38.0,0.9512075046786685,0.9284852824537265,0.9307213371890619
39.0,0.9528589564996893,0.9293043192740322,0.9277937968338802
40.0,0.9516397901903277,0.9331588122314515,0.9320387273259996
41.0,0.9485766265126863,0.931840882363992,0.93191320770564
42.0,0.9510863650008403,0.9326761547303895,0.9371481494886978
43.0,0.949052862774333,0.9340468581285316,0.9360171934994594
44.0,0.947624888430878,0.9356553052397879,0.933517193748026
45.0,0.9484920087828534,0.9343414248698798,0.9336871143745695
46.0,0.9504430632184098,0.9335430165925538,0.9363313063840202
47.0,0.9491149465535534,0.9358211411979939,0.9356182467044221
48.0,0.9492796157011708,0.9386687053260067,0.9356359151932991
49.0,0.9511451177419789,0.9410769189710187,0.9373682447530902
