key,LSTMCellDiversity,BasicRNNCell,LSTMCell,GRUCell,GRU4Rec,DBAM
1.0,0.6162843056870311,0.6872660587502262,0.5373244137552796,0.6232329413982516,0.7909990361756134,0.5679885219090925
2.0,0.6299654610495209,0.8734894903739143,0.7361448463608489,0.823488669702586,1.1214201285669012,0.8047342465605958
3.0,0.6690900232834978,1.0429045850837746,0.9046599908945377,1.0106731792348074,1.421347995102621,1.069333942712239
4.0,0.6953574553432242,1.2039679010763378,1.1255385844097854,1.1354819171915176,1.6775262279940537,1.2702535019932482
5.0,0.6981353779592872,1.3079366147396008,1.2761779219218166,1.2718770208448977,1.8925124466831145,1.457070783625754
6.0,0.7046561819363728,1.3946988216306215,1.3855467511519166,1.3266946640160628,2.038112307511903,1.6073787730746933
7.0,0.7410836510131106,1.3288989125190394,1.498011682798173,1.3804123726151538,2.1300277751905803,1.6584138575888936
8.0,0.7641499437039898,1.429657093481563,1.603676493781561,1.3683406827884819,2.215362494423034,1.7181757857879738
9.0,0.7643310117966804,1.5874509973991606,1.7086955488913784,1.4767853481514286,2.3003511310386155,1.9204173798750843
10.0,0.8554279184225224,1.479421698713777,1.7504546944629176,1.4411523452726531,2.303437595144789,1.835328971541756
11.0,0.7854263902701895,1.5544956455791061,1.6882164940286957,1.4670579800628663,2.18932105203705,1.9124551429070387
12.0,0.7492043488548792,1.3998490290699759,1.541161182000283,1.344146082451345,1.976672025038218,1.7156997222199997
13.0,0.6630833263624247,1.244601777536897,1.2526197441198568,1.3304415326335033,1.5711203339008835,1.5130177371605127
14.0,0.5820722096895433,1.3600331780577248,1.5353384444934217,1.4789589456840915,1.9398515276701502,1.7375198490731325
15.0,0.5594559688033197,1.3661415215919102,1.507620970448932,1.4071400650521138,1.8338810733976432,1.7232494077270966
16.0,0.5493873229139764,1.406547771773183,1.5762346210742777,1.495820426512365,1.8047407588417235,1.7366403124472711
17.0,0.5637541320833458,1.391272966966713,1.5854792761001715,1.54613142424943,1.8183695756207587,1.7482067988335581
18.0,0.5549558957933437,1.5188553255439292,1.5971303879682341,1.5327722457964212,1.8941197067480633,1.779613568995008
19.0,0.6142635033736034,1.5316036558344257,1.707071311597877,1.4535245854841137,1.8248935059664253,1.6748893495066213
20.0,0.6590100872793113,1.6236550528921099,1.7103142676880616,1.5150796182740454,1.8247568880005598,1.7633168912062664
21.0,0.6162223495517481,1.5978742705877298,1.7974308108932624,1.4482878204544278,1.7788295409911903,1.7814606015771182
22.0,0.5382398829281362,1.629198023015702,1.7785163512326516,1.5326534838945705,1.9575796820414648,1.9611495183895615
23.0,0.5130210046589855,1.5353104747023438,1.7561595642945855,1.4013944273446715,1.962608346269193,1.9282207934494624
24.0,0.5181131343494779,1.4301708422413826,1.6461884436952854,1.3280174626481285,1.8051614842227954,1.8580988834841372
25.0,0.5549264687796233,1.4805240334242704,1.6081761211258832,1.2994367767567228,1.7408751905195856,1.8204799854683567
26.0,0.4741013186237188,1.4698986090844717,1.5811935869293785,1.3488353057032583,1.6601425277716038,1.642646271272026
27.0,0.5848257460439418,1.2891020258281607,1.4357095726763773,1.2193770372831367,1.5880666429965744,1.5342640306979798
28.0,0.5854280027159111,1.339698972910681,1.3529175839463843,1.2058666714412904,1.4291960582068775,1.4152356615122372
29.0,0.4594507746293049,1.0930434257580686,1.2831581313001816,1.0866015342570599,1.3322978634436018,1.3748816113967486
30.0,0.5362739887180082,0.9837487494573959,1.0323189037341283,0.9718727484678563,1.081777365596627,1.2168276739290758
31.0,0.480209137378168,0.816874685807075,0.9656437896834599,0.9663489115027483,1.0076443662299328,1.279430800254332
32.0,0.4841241833224507,0.9122269135802297,0.9576157368611148,0.7532263012572162,0.8485132556904182,1.003956965256892
33.0,0.45856517674107805,0.7534673623111848,0.864472436700033,0.8624816858422385,0.6795523427716416,0.9249595452160991
34.0,0.41100098866643303,0.6091982063606721,0.6639654804790275,0.5918218873920191,0.5429991473294109,0.783163238635821
35.0,0.4173856759521257,0.5212376413361052,0.5937654693580611,0.6343049097804906,0.3284151572586938,0.8385969057100359
36.0,0.3616125236977639,0.6516260990266679,0.714319562488035,0.5764892311779513,0.5101780046352636,0.6317001913907815
37.0,0.430401541957812,0.6231253501076914,0.5187006009229417,0.6955864368587392,0.19517239301524678,1.0348002594368952
38.0,0.3519152784237884,0.3823238624656187,0.2580511509316544,0.41071685296000027,0.07455028315820193,0.5356800919753404
