key,BasicRNNCell,LSTMCell,LSTMCellDiversity
1.0,0.07590319316237565,0.12846784373327155,0.12885615704933534
2.0,0.0643976473580266,0.1149021561911657,0.11537638875774028
3.0,0.05487091442118691,0.10100204268206489,0.10162861303485626
4.0,0.04908168509729042,0.09306686376227888,0.0927097296993909
5.0,0.043980123177859994,0.0848368820920826,0.08300026113956932
6.0,0.042176928594848354,0.08091879483015275,0.08085618029599186
7.0,0.03792566289183219,0.0759991346487483,0.0741769501270514
8.0,0.03667938041185754,0.07155017217067654,0.06899016805527103
9.0,0.03395619390769219,0.06660278431928497,0.06561602401076842
10.0,0.032241594241167064,0.06363759350608983,0.06241760547332534
11.0,0.0296382314012586,0.06067212616970107,0.0577899237112431
12.0,0.030299149427560453,0.059352995349390474,0.05693599714080011
13.0,0.02917272770372608,0.059482298874013684,0.056503041682489145
14.0,0.029921833221903515,0.05716233433725963,0.055845360947001765
15.0,0.027586978455958828,0.05671605453543088,0.05338954155970527
16.0,0.028224343336106333,0.05303025084096887,0.04975257984347935
17.0,0.02512447819588813,0.0499821411238942,0.04801470478747889
18.0,0.026479749938343428,0.053627236313113724,0.04920573286688476
19.0,0.025605570050807595,0.05181560356997813,0.048180046676068636
20.0,0.027072093744379227,0.051487788879869725,0.05043911124868475
21.0,0.028985602037456745,0.051613963560203105,0.05089000104993281
22.0,0.026334479420567686,0.051911894650485846,0.0520237287635887
23.0,0.026597441880842173,0.05425317139295958,0.050329868917034885
24.0,0.02638828065902371,0.04973172105155566,0.04805389054832958
25.0,0.02441334550313903,0.052130523619433,0.04845105536460753
26.0,0.026578943229850674,0.052347381070212445,0.049374978852150433
27.0,0.02317426625335614,0.04698483001205514,0.04554768681364195
28.0,0.023027991746816134,0.05176364243856285,0.049849069434908196
29.0,0.026443501485858913,0.0489267303640157,0.04705600851835553
30.0,0.026737818870511323,0.04666861370551668,0.04917154878003799
31.0,0.02790891100030954,0.0509378646506321,0.04864116928856924
32.0,0.024849869134445694,0.049513440912311725,0.04966820447236982
33.0,0.025458082533779406,0.049624101269600374,0.04930595772339158
34.0,0.027941850689323755,0.053663161356624675,0.04698670002348021
35.0,0.02585906059409478,0.04942707318042266,0.050016108138731995
36.0,0.025672828067426167,0.04831452189379826,0.04714622194279619
37.0,0.028512984364995678,0.05321665170058963,0.05300013370796938
38.0,0.030355673655899057,0.052928001763980596,0.05269326234762614
39.0,0.028188755193321383,0.05266760512056105,0.04826366529368311
40.0,0.03139374905963184,0.05549655861329757,0.06102003208839661
41.0,0.031071778657748652,0.0571136001659712,0.053636130208210654
42.0,0.03275344689314399,0.05972177151445811,0.05827898997256378
43.0,0.03205788655466916,0.05902007763079402,0.05362874406478191
44.0,0.03126305107141855,0.06265918166155215,0.05539987366189763
45.0,0.035992175648327296,0.06583255463359913,0.06079560937254757
46.0,0.03759263881910385,0.07287076459449261,0.06384476050084983
47.0,0.04121044239668746,0.08527176407575587,0.0771690863877944
48.0,0.04747915865782619,0.08989925550219262,0.08729685535844321
49.0,0.05555488821979948,0.11982107133614119,0.10268995272966903
