key,BasicRNNCell,LSTMCell,GRUCell,GRU4Rec,DBAM,LSTMCellDiversity
1.0,0.9434194391244464,0.9599198289700531,0.9434488709217426,0.9212520380570375,0.9430866960602678,0.9755529412092467
2.0,0.9345782646536851,0.9396145507572322,0.9350631038668101,0.9181410975323422,0.9370618169777784,0.9502501212382224
3.0,0.9319342340741666,0.9329436864022652,0.93227065476589,0.9157774452073537,0.9351908079295488,0.9401383213432348
4.0,0.9316584098904428,0.9308953681819878,0.9320707560256876,0.9151083323596041,0.9351353864563989,0.9367593130179832
5.0,0.934945491413495,0.9334569716886056,0.9351677765337911,0.9185239551363973,0.9384478486238981,0.9385241318233906
6.0,0.9383463275423995,0.9363078358648582,0.938629409864453,0.9225893846274353,0.94208754777686,0.941144483354521
7.0,0.9415298656852235,0.9392352980001855,0.9418344821957844,0.9260609255471388,0.9449502676729911,0.9440153573331752
8.0,0.9448963683828072,0.9426084152865724,0.9448553502888057,0.9294584666689047,0.9482936706870406,0.9469362385245208
9.0,0.9475903518020317,0.9450080167139792,0.9475981758520016,0.9325034252726748,0.9508297809202964,0.9494745502561864
10.0,0.9502077302884558,0.9475598870048059,0.9500503243172836,0.9356354209175242,0.9530545187292049,0.952048471416278
11.0,0.9526427771863772,0.9499003590919515,0.9526641423887522,0.9380081666177873,0.9554853153514342,0.9542587036319301
12.0,0.9548696424044921,0.9519063126206211,0.9543348348110378,0.9407007886832505,0.9574093526597928,0.9566653290496661
13.0,0.9558532895720816,0.9533795333783207,0.956148658242032,0.9424121612339637,0.9590073142874672,0.9581711021315075
14.0,0.9581114185279794,0.9557162819893869,0.95788170148753,0.9446038140394366,0.960727493029724,0.9602208756140321
15.0,0.9596816949686969,0.957432134640088,0.9603002667941711,0.9467962432055778,0.9622998691909184,0.9623140653512486
16.0,0.961719313176285,0.9592286696009354,0.9621158677132403,0.9492387287617763,0.9644236642835324,0.965220613218982
17.0,0.9633883790013694,0.9608738621752899,0.9635063759582225,0.9507744215298605,0.9665517506106742,0.9669154872024508
18.0,0.9656377660899805,0.9630575449804489,0.9655061818709081,0.9533693947223562,0.9685273481986337,0.9702987651045017
19.0,0.9671742496005923,0.9646967254172336,0.9671977026110591,0.9550498914366269,0.9695259486670323,0.9730326006888882
