key,BasicRNNCell,LSTMCell,LSTMCellDiversity
1.0,9.777342680133025,10.166191483517501,10.207862319576499
2.0,10.076404490695783,10.302782563823694,10.348353025071614
3.0,10.18442959083865,10.402971887729409,10.448411423273708
4.0,10.248769781425903,10.43915453109867,10.498760853129058
5.0,10.306696617142165,10.49143006665304,10.54770656446114
6.0,10.328876592080768,10.514385163521297,10.587416705583063
7.0,10.324828462837823,10.52891092904648,10.601356504509491
8.0,10.334582620309906,10.54524503459602,10.601041243089881
9.0,10.390535947572493,10.592793236515597,10.667264760031554
10.0,10.397234071739426,10.603086046831692,10.655646986536494
11.0,10.421973550341118,10.601854550297123,10.700239194592005
12.0,10.492500870715439,10.65563599173281,10.701027068963397
13.0,10.49372832261472,10.655746586215994,10.675086819386438
14.0,10.461225742076284,10.659509984214843,10.706337803487427
15.0,10.462382269210012,10.673222616988022,10.738537610719213
16.0,10.48101287388019,10.686928660633576,10.691645537678383
17.0,10.498298986086805,10.664147315028544,10.731355805554733
18.0,10.507698761863054,10.640117287357487,10.697732722051631
19.0,10.488039255062276,10.69279037881525,10.717213125954444
20.0,10.524413213981234,10.690204786211384,10.721621089091617
21.0,10.53586280594431,10.728120838797535,10.72943673938584
22.0,10.520217034293545,10.689217978759295,10.767886069782314
23.0,10.539960722056465,10.675387146177771,10.742709711913605
24.0,10.561472550546203,10.737175457980447,10.758021751275356
25.0,10.579557250053199,10.757338388034567,10.763079273027786
26.0,10.602252025800174,10.759681050177406,10.763270806763645
27.0,10.588676721052858,10.805134533858427,10.838008093142818
28.0,10.613079971020465,10.843960634279,10.920016522571196
29.0,10.588370283757708,10.864576778932049,10.971466749898594
30.0,10.574012709923396,10.86540661555409,10.973993070640585
31.0,10.684973874685234,10.913454877968597,10.969036100491623
32.0,10.629302165557508,10.816771018744971,10.9048829671012
33.0,10.637269387663615,10.804909150438993,10.919265055469708
34.0,10.633110435943854,10.726144916815322,10.836693629006982
35.0,10.655732646186369,10.786978836408785,10.886196503727293
36.0,10.594923117913734,10.745956662577935,10.820274524772747
37.0,10.656756764448671,10.827352520814255,10.965701065344998
38.0,10.63889287378615,10.789485092827766,10.908161681429108
39.0,10.746352160583575,10.857480630576866,10.96189089583393
40.0,10.736794327710314,10.904124028008763,10.989703400778899
41.0,10.676401254118609,10.92947346529606,10.996375684184084
42.0,10.741756409923232,10.916671380385308,11.016268673030307
43.0,10.700351513164087,10.845545336863145,10.991056540778962
44.0,10.706398719065199,10.824988112310066,11.018832398206873
45.0,10.70675865069827,10.908748512156007,11.035346808770658
46.0,10.796352876344647,10.94910739534144,10.998458100887056
47.0,10.726993797546193,10.917235042864572,11.012882097257803
48.0,10.793864419456527,10.874843402829756,11.034252754604402
49.0,10.780535353850361,10.915147911895506,11.036395882862813
