key,LSTMCellDiversity,BasicRNNCell,LSTMCell,GRUCell,GRU4Rec,DBAM
1.0,10604.0,12507.5,13477.5,12635.0,12475.5,13531.25
2.0,7903.5,8064.25,8603.0,8191.5,6303.0,8648.0
3.0,5639.5,5268.0,5562.75,5438.5,3522.5,5479.0
4.0,4214.5,3537.5,3679.75,3804.5,2174.5,3625.5
5.0,3202.5,2539.0,2548.0,2661.5,1353.5,2512.75
6.0,2522.5,1905.25,1873.5,2050.0,954.0,1824.25
7.0,2016.5,1482.0,1414.0,1626.5,672.25,1400.5
8.0,1647.5,1174.5,1091.75,1332.5,502.25,1106.5
9.0,1414.0,1003.25,915.5,1131.5,416.25,932.25
10.0,1189.75,831.5,753.75,962.5,347.25,761.75
11.0,1008.25,705.0,631.0,782.25,283.5,622.0
12.0,858.5,590.0,535.25,677.75,236.0,542.0
13.0,762.0,490.75,462.25,547.25,199.75,437.0
14.0,870.0,517.0,482.6666666666667,628.0,213.66666666666666,441.6666666666667
15.0,757.0,435.6666666666667,407.6666666666667,536.3333333333334,193.0,386.3333333333333
16.0,625.3333333333334,391.6666666666667,321.3333333333333,432.3333333333333,152.66666666666666,312.3333333333333
17.0,531.6666666666666,327.3333333333333,280.0,347.6666666666667,145.66666666666666,265.3333333333333
18.0,460.6666666666667,240.33333333333334,215.0,285.6666666666667,93.33333333333333,200.0
19.0,363.6666666666667,201.66666666666666,193.33333333333334,269.0,80.33333333333333,199.0
20.0,306.6666666666667,174.33333333333334,180.66666666666666,229.0,80.0,190.33333333333334
21.0,266.0,146.33333333333334,131.33333333333334,208.66666666666666,66.66666666666667,148.66666666666666
22.0,261.0,127.33333333333333,106.33333333333333,158.0,53.333333333333336,107.0
23.0,244.33333333333334,100.33333333333333,84.33333333333333,159.66666666666666,33.333333333333336,71.33333333333333
24.0,222.66666666666666,94.33333333333333,85.33333333333333,143.33333333333334,33.333333333333336,73.66666666666667
25.0,204.66666666666666,76.66666666666667,74.66666666666667,136.0,33.333333333333336,73.0
26.0,191.66666666666666,78.66666666666667,56.666666666666664,106.66666666666667,26.666666666666668,68.66666666666667
27.0,158.33333333333334,71.66666666666667,57.666666666666664,115.66666666666667,26.666666666666668,72.0
28.0,158.0,61.0,62.0,109.33333333333333,26.666666666666668,87.66666666666667
29.0,162.0,83.33333333333333,62.333333333333336,107.66666666666667,26.666666666666668,77.0
30.0,137.0,81.66666666666667,61.0,95.66666666666667,26.666666666666668,71.33333333333333
31.0,130.0,72.0,62.666666666666664,90.33333333333333,26.666666666666668,71.0
32.0,100.0,58.0,54.0,74.66666666666667,26.666666666666668,53.0
33.0,87.33333333333333,52.333333333333336,44.0,65.0,26.666666666666668,44.0
34.0,67.33333333333333,46.0,36.0,57.0,26.666666666666668,43.333333333333336
35.0,51.666666666666664,32.0,31.0,42.666666666666664,26.666666666666668,34.333333333333336
36.0,85.0,68.0,62.0,76.0,40.0,71.0
37.0,57.0,47.0,51.0,57.0,40.0,46.0
38.0,20.0,20.0,20.0,20.0,20.0,20.0
