key,LSTMCellDiversity,BasicRNNCell,LSTMCell,GRUCell,GRU4Rec,DBAM
1.0,13.547371777859809,14.081709134613575,14.290383347816018,13.98506459320099,13.326571303990637,14.266120051009343
2.0,13.41553009890715,14.022095709257817,14.194571570823795,13.973546288212908,13.222562852933942,14.162300311208925
3.0,13.364883552038934,13.99252827150945,14.150541518762651,13.959882989764536,13.270024826892037,14.12552976356336
4.0,13.335882708161606,13.978955357769536,14.111412774492393,13.939766659679485,13.347748378385766,14.084848797925819
5.0,13.35789236181815,13.988121581435827,14.10356030556899,13.95318631222726,13.449991272286915,14.06461825678527
6.0,13.309988221967924,13.944065692400782,14.059718339783496,13.90393623075043,13.560803128683677,14.030169882211585
7.0,13.317914340359774,13.941214416669894,14.029249069566957,13.893269893317266,13.613420494963341,14.041578230095393
8.0,13.286559027327748,13.905135983120118,14.020926658063374,13.931810019401768,13.70483971060983,14.00585407138907
9.0,13.396626423321944,13.840608619131814,14.058879736995578,13.931548407989853,13.708369550238157,13.981010433233275
10.0,13.285347659542328,13.936246017579325,14.01210211442322,13.858482745165546,13.796302626159138,13.997134792425024
11.0,13.31747374272378,13.866176205556906,14.085823855837443,13.937604517603022,13.773528427156746,14.014267001150872
12.0,13.310066535126852,13.846667413288857,13.94765138205276,13.949341439125314,13.799924589004494,14.001771135862061
13.0,13.40157975609535,13.880245463489018,13.984514838691805,13.861466952571487,13.836839824956998,13.96218362660307
14.0,13.400128848529512,13.843910973109915,13.989365707028746,13.926209789835687,13.705620947566915,14.034441344139779
15.0,13.423144493580052,13.809912805132276,13.99331756406312,13.946420550745472,13.841159905551706,14.024697659627806
16.0,13.385881503712627,13.848994643416537,13.892962500919458,13.907997283683338,13.742592714819876,14.010280062852027
17.0,13.452421611947754,13.66434578882299,13.916760719843412,13.856355862921793,13.815061889747843,13.872416170137953
18.0,13.474739134835616,13.66029274102893,13.88323835699755,13.860481413588994,13.824986680496716,13.948875952378428
19.0,13.354767378105189,13.723728537026474,13.92231908198711,13.791535557680655,13.921744888320958,13.905834182942177
20.0,13.343624184109592,13.6834913696414,13.908825868661964,13.901732617856377,13.930246017710571,13.801471530406081
21.0,13.410208951782565,13.732945688716915,13.857615331344,13.903467823354575,14.036802880511425,13.95310674820845
22.0,13.522156973918838,13.70980002892449,13.923013753557848,13.845736001044784,13.749247215621937,13.81918356006272
23.0,13.43847159966681,13.670996347264719,13.875506563490253,13.944465927417745,13.77098581056785,13.896278671832931
24.0,13.451770678907515,13.652603426972766,13.954591136927377,13.818963995136485,13.913656625333607,13.933363262044878
25.0,13.296362782086112,13.52237108950169,13.910902181189245,13.920233510244207,13.940513396153989,13.796422006832126
26.0,13.437070236960901,13.697205698598466,13.948984442565845,14.007188124020452,13.910298021022959,13.893323975987991
27.0,13.621251046953105,13.887652383688405,13.888025411665934,14.03155795961896,13.821386022079546,13.868197728696147
28.0,13.491970137078573,13.471165610078316,14.034876551621807,13.917898089561445,13.948223111454391,13.878658377635018
29.0,13.52998947140267,13.666908108154553,13.925918763128607,13.92843218703514,13.822212883280054,13.879846034466459
30.0,13.464705530414319,13.672271651571743,13.918700696790525,13.867721803980627,14.32182820388398,13.949097375280715
31.0,13.640932000289675,13.626066775893221,14.04140203687629,13.882190834510936,14.046523894200957,13.855748823285198
32.0,13.294544541713238,13.572968001987414,13.952470704711182,14.024078059505117,14.208907991153149,14.001454439832878
33.0,13.59375569537247,13.84909598031687,13.922585502743253,13.991467679287545,14.095178726473288,13.905609611684726
34.0,13.50541368226375,13.771697495531335,13.98507498158081,14.020197388099055,13.964536868965197,13.974875088324325
35.0,13.500725222689157,13.619480967321211,13.92997878982957,13.993998692382457,13.96608109583598,13.88357829433726
36.0,13.257324429654687,14.12247456887527,14.04327271604663,13.839103261135941,14.24577881949332,14.074784145830389
37.0,13.101574206919517,14.027269788508997,14.330005719618491,14.12608727977694,14.256983489186672,13.90543144796059
38.0,13.523761987764903,14.12574655061807,14.497642175496756,14.31131273340192,14.455340646351118,14.295464518350803
