key,BasicRNNCell,LSTMCell,GRUCell
1.0,0.009555527803844896,0.0014038824943519263,0.005270461327834029
2.0,0.01556793940760376,0.006800544690309154,0.011634329819402659
3.0,0.019079053589487954,0.010068777025942135,0.018632836066750202
4.0,0.02621063898089644,0.01661060610756999,0.02232670564890405
5.0,0.031050216936906586,0.022045049862593195,0.02883143668160322
6.0,0.03199136048814194,0.023994095272635345,0.029686761617759665
7.0,0.028850204169353105,0.02452373737373737,0.029535353535353536
8.0,0.030820490211645988,0.026953781129345426,0.03190671723001503
9.0,0.03368131868131868,0.035130494505494506,0.03042124542124542
10.0,0.03304364916598304,0.04762726734117218,0.03925021078297329
11.0,0.03425558833642891,0.030130604368236013,0.031112784242342123
12.0,0.028520009038444805,0.03839781280913576,0.0330277017860998
13.0,0.040550713905977066,0.05107370699475963,0.037775309485835795
14.0,0.03871686505391777,0.061863333679416786,0.0549213576243203
15.0,0.046397184514831574,0.04969733534439417,0.04078079436902967
16.0,0.033434343434343435,0.059936868686868684,0.055239898989898985
17.0,0.03338744588744589,0.05663780663780663,0.06020923520923521
18.0,0.03513500388500389,0.03954933954933955,0.052209595959595956
19.0,0.04749798224374496,0.04526194144838213,0.040182087215985526
20.0,0.03981106612685561,0.03549257759784075,0.038191632928475036
21.0,0.040601851851851854,0.060356753812636166,0.03726579520697168
22.0,0.02918192918192918,0.08223443223443223,0.05777777777777778
23.0,0.04136500754147813,0.0625188536953243,0.023001508295625944
24.0,0.0396505376344086,0.06989247311827958,0.024103942652329752
25.0,0.04870129870129871,0.06931818181818182,0.03874458874458875
26.0,0.035,0.045000000000000005,0.04
27.0,0.04194847020933978,0.052334943639291476,0.022222222222222227
28.0,0.0375,0.038293650793650796,0.029861111111111116
29.0,0.020426065162907268,0.02731829573934837,0.03746867167919799
30.0,0.03218954248366013,0.03594771241830066,0.03464052287581699
31.0,0.01888888888888889,0.023333333333333334,0.025555555555555554
32.0,0.010256410256410256,0.021474358974358978,0.02083333333333334
33.0,0.010606060606060605,0.0,0.0
34.0,0.009259259259259259,0.017592592592592594,0.012962962962962963
35.0,0.0,0.0,0.007142857142857144
36.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0
