key,BasicRNNCell,LSTMCell,GRUCell,GRU4Rec,DBAM,LSTMCellDiversity
1.0,0.08761246382973036,0.062373941869094084,0.08761775918409269,0.13775587982082435,0.0871904045143199,0.03718018145337175
2.0,0.08655259342993522,0.07942874962752879,0.08673658514564214,0.1177085433634762,0.0834287116281135,0.06471693399218797
3.0,0.07764419395203502,0.07541856313886547,0.07771388101327543,0.10125260949270576,0.07446460939221103,0.06694965120857757
4.0,0.06358375334953485,0.06237423317874739,0.06324107482948713,0.08192257317673804,0.060464976249974656,0.056747822395212866
5.0,0.06479009400335055,0.06366401031646604,0.06426864524737472,0.08376904838406304,0.061230366198150844,0.058444096419338884
6.0,0.0647127224682794,0.06428856209631452,0.06423236340907239,0.08415173523707986,0.06041185161497622,0.05857053415274447
7.0,0.06509620741137877,0.06405261389378089,0.06481865203378663,0.08488225664032567,0.061021923821787324,0.0581518813504087
8.0,0.06394374218972358,0.06295375737283866,0.06391144026471354,0.08460708441093615,0.05984515460134412,0.05658246119064294
9.0,0.06336429402448837,0.0627956053268056,0.06306877462616821,0.0843674482814101,0.05960234869169427,0.05626270168400462
10.0,0.0621694785696729,0.06109645643199748,0.06179035566369301,0.08332610883771746,0.057761383291783895,0.05495635696058924
11.0,0.06114701530445452,0.060248967688808795,0.060400323330656855,0.08314098552225493,0.05702737775846284,0.052788027890900625
12.0,0.059175425262770885,0.05936470332842416,0.05869775547832288,0.08046468330154022,0.05476207616935197,0.0509418816979955
13.0,0.058452910223566266,0.05754937290954278,0.05731303559247595,0.07915757495042283,0.05395444434629373,0.04927679346398478
14.0,0.05602860832159597,0.05383468257682021,0.05494644701413269,0.0761748264666162,0.05134148943536994,0.046082655081041354
15.0,0.051044773327426005,0.05035996855585747,0.05105576057139445,0.072135028215592,0.0464390276122326,0.041751142305885766
16.0,0.04499578214198392,0.04412718649909898,0.04553330500384831,0.0638292471169005,0.04231303853608296,0.03584089225778655
17.0,0.039235364889702605,0.037908536211894515,0.03898164682211009,0.055215100950198735,0.03650256211852938,0.029632787018657607
18.0,0.031098814758144817,0.02938388048068623,0.029918149097783,0.04234902109545774,0.028159269379874684,0.02195680942661496
19.0,0.01991370797854195,0.018773379144568336,0.01933729191550661,0.026776416619033367,0.01798890801904484,0.013652482549573667
