key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty
1,0.08761775918409269,0.274648079441997,0.14993736705449442,0.956642889618714,0.004081218419720882,0.9434488709217426,4826.678261813557
2,0.08673658514564214,0.3258504447895857,0.16241230393853315,0.9523517293402486,0.004407623863163839,0.9350631038668101,4317.67400160887
3,0.07771388101327543,0.36771999830437385,0.1732837871484912,0.9511744860253499,0.004556127601191843,0.93227065476589,4169.249888701257
4,0.06324107482948713,0.4056020355732078,0.18138277741974723,0.9510119793608922,0.004600046023698675,0.9320707560256876,4065.571394628455
5,0.06426864524737472,0.3929670626532963,0.174527270080107,0.950584732880323,0.006021654532383986,0.9351677765337911,4002.570082234761
6,0.06423236340907239,0.3647240604983194,0.15795244276265413,0.9500245924226043,0.007711870036685152,0.938629409864453,3977.9104669643702
7,0.06481865203378663,0.35155801289575,0.15405070663122133,0.9504133790398848,0.0095302701692315,0.9418344821957844,3966.9047830221452
8,0.06391144026471354,0.33206485882201486,0.14379469249071872,0.950363774524204,0.011338193901422617,0.9448553502888057,3959.0713916880836
9,0.06306877462616821,0.32002810540412446,0.13875468357049378,0.9508170965660918,0.013547158335149901,0.9475981758520016,3962.2191817007924
10,0.06179035566369301,0.30761288239049167,0.1332502804496029,0.950931392960727,0.015378050780993921,0.9500503243172836,3978.646208596346
11,0.060400323330656855,0.30062708917821823,0.1267249821175081,0.9513347722999537,0.01763917091108186,0.9526641423887522,3934.013208316211
12,0.05869775547832288,0.2943376049058471,0.12775789349749664,0.9517297592893653,0.019630261023261538,0.9543348348110378,3978.839532160409
13,0.05731303559247595,0.297998596571693,0.12801431904593855,0.9521302928648275,0.022039283374621837,0.956148658242032,3917.3290036546546
14,0.05494644701413269,0.2993937731323251,0.12323068427491764,0.9520438448262242,0.024505964348654173,0.95788170148753,3935.579938139838
15,0.05105576057139445,0.29517565336376156,0.12229400742588323,0.9526782072174222,0.027432866259249556,0.9603002667941711,3952.9736303569625
16,0.04553330500384831,0.3001739766270388,0.1255720120378961,0.9533162846376472,0.029321387554701366,0.9621158677132403,3967.0720321800445
17,0.03898164682211009,0.309780357026004,0.12448636919090499,0.9541599663240801,0.031609416038043306,0.9635063759582225,3977.2181750991717
18,0.029918149097783,0.32300984878191696,0.12827887149441325,0.9548185913298914,0.034133854763321654,0.9655061818709081,3973.442478674363
19,0.01933729191550661,0.38674583831013215,0.15050933298295358,0.9556325852179844,0.036583984546904244,0.9671977026110591,3918.297327200623
