key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty
1,0.13775587982082435,0.43083584574411765,0.22071461159226505,0.948418797537338,0.007749608522520245,0.9212520380570375,2627.9478213409416
2,0.1177085433634762,0.4403532931755082,0.21228830650724415,0.9471157803016478,0.007767742465964356,0.9181410975323422,2607.6280900478737
3,0.10125260949270576,0.47329368280552464,0.218618824268268,0.9461830952060106,0.007860700919433526,0.9157774452073537,2574.4456083964023
4,0.08192257317673804,0.5134296029624971,0.22664998588133542,0.9458738976895216,0.007934352469444666,0.9151083323596041,2560.4018602549095
5,0.08376904838406304,0.49819932429600833,0.2158306040236661,0.9451404544398361,0.009977422326340506,0.9185239551363973,2516.631255943851
6,0.08415173523707986,0.4692085526344643,0.1967298119038995,0.9446795888766923,0.012283877346560917,0.9225893846274353,2476.1219129549304
7,0.08488225664032567,0.45094022057108374,0.18820579832746742,0.9445252759796663,0.014766442381670412,0.9260609255471388,2449.4972584060133
8,0.08460708441093615,0.4322005869494402,0.1786324842654938,0.9442331393173224,0.017177266960656003,0.9294584666689047,2410.224958285574
9,0.0843674482814101,0.41615328494745774,0.1741243946782994,0.9445149381110747,0.01973533044925696,0.9325034252726748,2369.21315869688
10,0.08332610883771746,0.4083136815571818,0.16608715371684457,0.9447576201840862,0.02212740697379188,0.9356354209175242,2366.1232561892493
11,0.08314098552225493,0.4052620979286939,0.16361644667380418,0.944949286144484,0.024847899370387984,0.9380081666177873,2320.6818930844606
12,0.08046468330154022,0.39680144817533813,0.16509503426354627,0.9455736952377398,0.02750932547784784,0.9407007886832505,2298.699409222242
13,0.07915757495042283,0.40274303790247884,0.16253293038065192,0.9453051610838619,0.02980478314585589,0.9424121612339637,2288.741183834277
14,0.0761748264666162,0.4031593558786697,0.1603212605731494,0.9450938120211385,0.032676383812111395,0.9446038140394366,2270.251014048038
15,0.072135028215592,0.4095655867769211,0.1572380688018919,0.9455280791896886,0.03525260475291266,0.9467962432055778,2234.0526255594173
16,0.0638292471169005,0.41356294771166036,0.16370456591232935,0.9463104078486572,0.038634532526006696,0.9492387287617763,2195.2758504891544
17,0.055215100950198735,0.4348634805026352,0.17096520829265732,0.9466874956799718,0.040826065214160004,0.9507744215298605,2206.9908521153875
18,0.04234902109545774,0.45514001704535545,0.18206159025168422,0.948179967213434,0.0428243722582945,0.9533693947223562,2209.0387036316433
19,0.026776416619033367,0.5355283323806674,0.20326468108596168,0.948201975468588,0.04487128863534277,0.9550498914366269,2185.285869043842
