"key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty"
1,0.13233238988147886,0.4290438475867327,0.22069342560246902,0.9536969831784674,0.005497779474335937,0.9275090580857626,3539.2424818680347
2,0.1121572616309924,0.43685984201477013,0.21218151193826054,0.9521855198991334,0.005522451981714413,0.9243001818464763,3478.838059437466
3,0.09578100123828057,0.4707120221946421,0.21852842223891897,0.9509620713458083,0.005574124591507071,0.9219792955255246,3398.8229170352024
4,0.07691049000530692,0.5154305612425195,0.22972864303790305,0.9504127363953027,0.005672349102013835,0.9211429693344456,3328.3935255616484
5,0.07969324375713019,0.5024347752640312,0.2164216321114404,0.9498048254891776,0.007467426329799655,0.9248089494489682,3296.8612308277347
6,0.08101990487933769,0.4735494913361744,0.2001705116895352,0.9490220846815672,0.009518555945968498,0.9287874488459489,3217.8019552580595
7,0.0827064111663118,0.4504703803674705,0.18840961636605585,0.948620322545139,0.01168428523402189,0.9319714500776901,3201.7226993139348
8,0.08357664233576642,0.4374389203996868,0.17644835081076113,0.9480483308389519,0.013979062620053785,0.9351076992192857,3190.7834701946476
9,0.08293063133281373,0.41850736515584525,0.17524562982991962,0.9479781100420137,0.01684579726791648,0.9383142452884967,3131.3036243180045
10,0.08218946350894152,0.41124229940083007,0.16576622549620426,0.9480547690299421,0.019147312457073084,0.940779140943148,3087.3660463992264
11,0.08303464755077658,0.40103876277711403,0.1664826390940411,0.9484626601555073,0.021904672074451362,0.9436084038974857,3039.579330943847
12,0.07914001421464108,0.3921404880360104,0.1634496178857548,0.9489034020358605,0.024707290614596193,0.9455317856451702,3029.5573205401565
13,0.0774451939291737,0.40913033004095395,0.1623954601182503,0.9488900901019258,0.027598295908405075,0.9480579081008487,2964.706197301855
14,0.07425,0.3955,0.16047293501245255,0.9491723500292082,0.029926315789473683,0.9505878239941284,2988.52115
15,0.06966824644549763,0.40428515007898896,0.16002469462498778,0.9492459825825121,0.03212147667747568,0.9519088812816315,2897.042772511848
16,0.06284916201117319,0.4170158286778398,0.1587979710072317,0.9498042701440559,0.03498970890914437,0.9538397967490891,2923.0605446927375
17,0.05598705501618123,0.4517259978425026,0.16149815374988002,0.9502713464866392,0.037361607903253276,0.9560494984265407,2839.1847896440127
18,0.040934579439252335,0.4336448598130841,0.1694033695551893,0.9505486742415828,0.03895720609936055,0.9576510049528101,2948.8451401869156
19,0.027038626609442055,0.5407725321888412,0.20692647212826004,0.9507495721450735,0.04137113169189067,0.9591274450141987,2937.6000000000004
