"key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty"
1,0.07692368713311122,0.2496043099924231,0.145602803413116,0.9619803643045146,0.0046410648229331065,0.950543516869378,3254.664707282246
2,0.07413929874662858,0.29221795604295536,0.1546727094718382,0.9600239401120727,0.004836460499177501,0.9441446745119394,3077.644058384896
3,0.06600825003966367,0.3282451657994117,0.1615812283968807,0.959581311829789,0.004889067027397146,0.9427537388280213,3030.1833174678723
4,0.0526891956211328,0.3628856184008493,0.16553377164127134,0.9598296499559793,0.004904932488288785,0.9426841460692652,3049.811724575599
5,0.05362629914143697,0.34652708716197195,0.15839281899194618,0.9592142156806343,0.006667538706685376,0.9463437559518716,3036.962652507908
6,0.05346721054283024,0.32010537574547615,0.14487123817968373,0.958609903574328,0.008721285485442504,0.9497699204710925,3075.4866645748352
7,0.052731006160164275,0.30082959135320536,0.14001257633549632,0.9586015862906161,0.010854857883929536,0.9525220318042538,3115.351232032854
8,0.05141635489043293,0.2820891784146728,0.13315229822967792,0.9591400163129303,0.013159301246167262,0.9557625321018209,3222.723089257082
9,0.05315533980582525,0.28000472327795495,0.11977052267289498,0.9601586178387692,0.015913570333600992,0.958545267255561,3250.003814147018
10,0.05189491817398794,0.2674015285126396,0.11503047128130184,0.9601304586701694,0.018101455188358494,0.9610477044582794,3424.726571920758
11,0.048710010319917445,0.24975264959785082,0.10578041386265234,0.9598325344437361,0.020661561023301286,0.9641758746522331,3353.9179050567595
12,0.04895833333333334,0.24907796451914097,0.10493769268621239,0.9600393539141362,0.02306501547987616,0.9649244476765161,3269.3653186274505
13,0.04948680351906158,0.2622748219522413,0.11747178937549914,0.9606868927530072,0.02568297576786541,0.9672045879612499,3167.515542521994
14,0.0475177304964539,0.2561761229314421,0.1006500531824419,0.9608696770795143,0.02914333706606943,0.968261284641168,3097.0710992907802
15,0.041527196652719665,0.23845885634588568,0.09978211684364306,0.9618349784259196,0.03270204800704691,0.9712062845017043,3186.3273012552304
16,0.03866348448687351,0.257557677008751,0.10311136726925611,0.9620875925488775,0.03318678557970104,0.971584847346711,3181.2273269689736
17,0.0332409972299169,0.26731301939058166,0.1101458522583583,0.9621944769130105,0.03736696311415658,0.9740450656194602,3220.0324099723
18,0.022360248447204974,0.2453416149068323,0.11182017853054914,0.9650093245041977,0.037724746649231776,0.9781261777654837,3494.552795031056
19,0.014664310954063606,0.29328621908127206,0.12866735495347822,0.9648092900837346,0.04171471080528175,0.9784512210552442,3518.168904593639
