key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty
1,0.08761246382973036,0.2744682566639019,0.1491906221852827,0.956894190593796,0.004360233372338086,0.9434194391244464,4485.869571048708
2,0.08655259342993522,0.3251024588429278,0.16359899879323905,0.9523207704583407,0.0045694064095234245,0.9345782646536851,4106.547487360081
3,0.07764419395203502,0.3679431931674785,0.17382088755511133,0.9514146675275276,0.004663855259515214,0.9319342340741666,4029.9690103337025
4,0.06358375334953485,0.4077789978939784,0.1831509931373179,0.9512855666364187,0.004699713234988077,0.9316584098904428,4004.134934821244
5,0.06479009400335055,0.39595879442213777,0.17659660251484613,0.950664923976466,0.00618193197236883,0.934945491413495,3965.4845697564697
6,0.0647127224682794,0.3682817052789878,0.15931955161661757,0.950400721597144,0.007820702902933439,0.9383463275423995,3961.7715182915845
7,0.06509620741137877,0.35523092021974956,0.15354305476735858,0.950464788314737,0.009740149079362343,0.9415298656852235,3937.277934648958
8,0.06394374218972358,0.3349246111460258,0.1434818878303076,0.9507042544599983,0.011568773112802322,0.9448963683828072,3930.1111575887494
9,0.06336429402448837,0.3218116181217378,0.13856666963475567,0.9510656217096832,0.013508956485818699,0.9475903518020317,3916.890466255153
10,0.0621694785696729,0.31063341135133327,0.13246119305437806,0.950965971833717,0.01570608913407057,0.9502077302884558,3986.760207819625
11,0.06114701530445452,0.3026362306135494,0.12570330562791676,0.9517229496090737,0.018132768008212466,0.9526427771863772,3916.025500988634
12,0.059175425262770885,0.2972781062278269,0.12225418810225261,0.952159915491408,0.019867720628739063,0.9548696424044921,3965.0882053650917
13,0.058452910223566266,0.3058211317258785,0.12999590965299918,0.9520519594449481,0.022405430837420623,0.9558532895720816,3981.6038777450167
14,0.05602860832159597,0.30338910367844757,0.12332734630025141,0.9523342344914715,0.024863303083029125,0.9581114185279794,3922.0619213851287
15,0.051044773327426005,0.2933680090495474,0.11822498793045444,0.9523964743963175,0.027169149693446793,0.9596816949686969,3858.1096038521114
16,0.04499578214198392,0.29770921646288634,0.12705595081085228,0.9537711402490938,0.029531297239080444,0.961719313176285,3929.559026091959
17,0.039235364889702605,0.3129787685148977,0.13057627858555645,0.9543693758017797,0.032696032660196266,0.9633883790013694,3946.1347447691633
18,0.031098814758144817,0.33402763839789,0.1342728181364446,0.9551188596812088,0.03363056594895857,0.9656377660899805,4039.2285377728867
19,0.01991370797854195,0.3982741595708391,0.15258728971796862,0.956132161805686,0.03598833215327612,0.9671742496005923,3975.0329846962604
