"key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty"
1,0.09950626551943176,0.3170506709736423,0.16697184258578102,0.9518108892026188,0.0019612610668555087,0.9325264304153635,5044.122555869955
2,0.09590287001212681,0.36455432490461825,0.1804928897556386,0.9449458404602902,0.00202508639213672,0.9236059366991217,4917.3285268811
3,0.08508690881792459,0.4058265857628266,0.18968112301860915,0.9439801848293586,0.0020624697969442865,0.9206520436581809,4901.389371715655
4,0.06854247271467345,0.44064206295395303,0.19864871245399862,0.9438021790089884,0.0020943824595848924,0.920391828142881,4903.477054339665
5,0.06924925887348772,0.42954584541596796,0.19169261527076578,0.943257720466619,0.002790768283580516,0.9235644279676493,4850.697119621826
6,0.06885590873850925,0.3966735160582763,0.17522963178570852,0.9438823609407595,0.0037091010836427653,0.9279176706179032,4843.147541255953
7,0.06950282649659371,0.38527104951224395,0.1669004575458216,0.943860039550509,0.00465513690008468,0.9318956629680114,4734.213393245398
8,0.06798791996979993,0.353952497525544,0.15164824265199237,0.9456501862155138,0.005774771015874908,0.9371141678253174,4651.041298603246
9,0.06854704906375919,0.3403516080453743,0.14835780909178706,0.9458425754605345,0.0069597435161737,0.9402827743930727,4606.855048589713
10,0.06733682983682984,0.323472360972361,0.14478552319729115,0.9461361526383923,0.008121702858544964,0.9439696865127908,4574.005011655011
11,0.0671029359745313,0.32620142503410987,0.13582224092703463,0.9467303112433213,0.009491184629419322,0.9457729285628504,4531.340608418818
12,0.06299531316574351,0.3114923813581675,0.13033243028279748,0.9477053769181977,0.010947906622115578,0.9484658744378645,4473.6077119727315
13,0.060824481537683356,0.3117144784064359,0.14067078371401578,0.9480284561941578,0.012440433405212576,0.9499702317102975,4512.2038947900855
14,0.05935619735258725,0.31289610910549537,0.13087529121236688,0.9488202979073513,0.014047754765976313,0.9530029796071053,4448.346028880867
15,0.05461805555555556,0.31471064814814814,0.12750541632550644,0.948705065166037,0.015230263157894736,0.9545523795783252,4461.1134375
16,0.04868525896414342,0.31739707835325365,0.13511264916706783,0.9504521259100778,0.016829524009226254,0.9571295143477323,4280.249282868525
17,0.045092592592592594,0.35324074074074074,0.14767451650799998,0.9514149282310183,0.018942495126705653,0.959241057878717,4300.46425925926
18,0.03473404255319149,0.37446808510638296,0.15897526239946583,0.9515247886903194,0.020145576707726764,0.9612877891745637,4320.958776595745
19,0.02288647342995169,0.4577294685990338,0.17387546854436728,0.951846750389955,0.022037884566488686,0.9619195496827835,4177.41038647343
